,nickname,text,score,like,dislike,time,watch_movie
0,펜튼(ajtw****),돈보다 영화가 아까운 사례,10,3474,142,2013-06-22 21:20:00,0
1,합격(junj****),히어로 영화중 가장 최고는 바로 배트맨시리즈...  더이상 크리스찬베일의 배트맨을 볼수없다는게 슬플뿐,10,2552,67,2013-07-17 02:16:00,0
2,mvmt****,전작에 비해 약간 부족한면도 잇지만 히어로시리즈 중의 명작임은 분명하다,10,1522,228,2013-06-05 02:39:00,0
3,jkla****,영화의예술로 시작해(비긴즈)  영화의상징이되어(다크나이트) 영화의전설(라이즈)로 끝나다,10,1248,57,2013-06-26 19:12:00,0
4,대운(mwgh****),이 영화가 10점이 아니라면 10점짜리 영화는 없다.,10,1128,75,2013-06-28 02:09:00,0
5,tang****,IMAX와 전통 필름 포맷을 교차했지만 영화의 극적 긴장감과 박진감의 고조는 계속될 뿐.,10,896,45,2013-06-04 09:46:00,0
6,씨빠끗(spin****),그냥 말이필요없다.단언컨대 크리스토퍼놀란 그는 천재다.,10,839,40,2013-07-25 05:44:00,0
7,shin****,한국에서는 나올수 없는 스케일의 영화지,10,781,53,2013-06-27 23:14:00,0
8,가이(firs****),박평식인가 저사람 먼 꿈에서 배트맨한테 오질나게 맞았나? 왜저래 저러고도 무슨 평론을 한다고,10,707,39,2013-08-25 08:10:00,0
9,cake****,"스타워즈, 터미네이터와 함께 시리즈물의 최고작.... 돈들여 영화만들려면 이정도는 만들어야한다... 한국영화따위와 확실히 차별화되는 이런게 진짜 헐리우드영화....",9,702,59,2013-06-23 23:00:00,0
10,블랙잭(fhrz****),다크나이트 라이즈 이후본 영화들 모두 부족하고 성에 차지 않는다. 크리스토퍼 놀란 그는  최고의 감독입니다.,10,462,20,2013-07-20 21:49:00,0
11,포턱(plas****),말로는 설명못함,10,397,19,2013-06-08 14:53:00,0
12,간지쟁이(wnsr****),한국영화시장은 이 영화를 담기엔 그릇이 작다.,10,382,27,2013-06-28 18:05:00,0
13,마약(rodr****),이 영화 까는것들은 영화관에서 보긴했냐???,10,355,17,2013-07-29 01:52:00,0
14,Snape(stmi****),"A Hero Can Be Anyone "" - Bruce Wayne.",10,349,16,2013-06-30 03:30:00,0
15,민이(mini****),다크나이트가 시리즈의 절정이라면 라이즈는 적절한 결말. 정말 잘봤습니다. 개인적으로 부르스웨인이 최후의 순간에 고든에게 정체를 알려주는 장면이 기억에 남네요. 가슴 뭉쿨했던 장면 ㅎㅎ,10,315,8,2013-06-25 11:13:00,0
16,ㅅr고rㄴr무(phok****),단언컨데 놀란은 가장 완벽한 감독입니다.,10,320,19,2013-07-29 10:26:00,0
17,미야비(hide****),"내 생애 처음으로 영화가 위대하다고 느꼈다..벅찬감동의 여운이 아직까지 남아있다. 전작을 이해하고 본사람이라면 10점도 부족하다. 엄청난스케일, 완벽에가까운 스토리, 말이 필요없는 최고의 결말뿐만 아니라 요소마다 들...",10,308,13,2013-08-18 16:16:00,0
18,러닝포션(sopi****),영화를 두번보고 이해다했다. 처음봤을때는 브루스웨인이 죽은 새드엔딩인줄만 알았는데 두번째보고나서 자신의죽음것처럼 완벽히 속인걸 보고  살아남은 해피인딩것을 알고 ㅎㄷㄷ했음...영화관가서 안본게 한이다..,10,331,90,2013-07-29 02:21:00,0
19,skle****,전문가평점중에  '박평식'봐봐요 다크나이트 시리즈 평점 다 낮게주고 한국영화는다 평점높게주네요... 이젠 전문가들도 평점알바하는지 의심됩니다...,10,247,21,2013-08-03 13:18:00,0
20,wlsa****,유일하게 비교당하는 대상이 다크나이트 . ㅎㅎ,10,217,5,2014-03-31 00:57:00,0
21,이글워치(nahc****),"다크나이트 영화가 흥하는 이유 중 하나는 한스짐머의 명품OST 때문이다, OST의 중요성을 사람들이 잘 모르는 것 같애 .. 영화 시나리오도 중요하지만 은연중에 몰입하게 만드는 힘은 OST도 한 몫을 한다고 확신한다...",10,201,3,2013-09-28 03:34:00,0
22,김서로공(theh****),후반부 테러리스트와 경찰들간의 집단패싸움이 꼭 개그꽁트같이 싸우지만그래도 10점,10,224,34,2013-07-08 23:24:00,0
23,막작가(asdk****),배트맨의 인간적인 모습이 느껴져 더 와닿는 영화입니다.,10,175,6,2013-06-24 20:54:00,0
24,vitamin(prum****),"놀란 감독과 크리스찬베일, 앤해서웨이 조합은 진정 다시 볼 수 없는건가? 캡틴과 아이언맨을 무척 재밌게 봤지만 역시 마음 깊숙히 여운을 남기는 건 다크나이트 라이즈다. 이 영화는 슈퍼히어로물 가운데 단연코 최고 수작...",10,173,7,2014-04-01 00:11:00,0
25,김(rlat****),악역에 집중하는게 아니라 주인공에 집중해야 합니다. 다크나이트1처럼 악역에 집중해서 보면 절대 이 영화의 진짜 재미를 느낄 수 없어요.,10,163,11,2013-07-17 19:00:00,0
26,아귀(sung****),다보고 나서 나도 모르게 “우와” 라고 했네요.베인하고 격투씬이 아쉽긴 했지만 단점을 없애버리는 스토리 정말로 감탄했습니다.,10,147,6,2013-07-29 06:06:00,0
27,앞골목(sos9****),진짜 3부작을 다 보고 나니 한 사람의 인생을 본 것 같아 마음이 울컥하고 그러네요. 정말 최고의 영화,10,142,3,2013-05-31 19:03:00,0
28,태풍권(qkrt****),크리스토퍼 놀란에 베트맨 시리즈는 재미뿐만아니라 그안에 담긴 철학들이 있어 더욱더 독보이는 것같아요!!,9,135,9,2013-07-17 19:56:00,0
29,limyk98(lims****),"우리나라에선 CG떡칠해놓은 게 잘먹히는듯... 마블영화는 눈이 호강하지만, 놀란의 다크나이트 시리즈는 전율을 느낄수있다... 잊혀지지가 않음;;ㄷ",10,122,1,2014-05-18 11:21:00,0
30,희야 날 좀 바라봐(mari****),내가태어나서지금까지본 영화 중에서가장멋지고최고인영화!,10,120,4,2013-06-17 16:01:00,0
31,대추나무 사람걸렸네(tjdw****),난 이형님이 히어로중에 제일 간지난다고 생각한다.,10,118,3,2013-08-28 22:37:00,0
32,fire****,"전작,다크나이트에서워낙강한카타르시스때문에,라이즈가묻힌다는것보단,협주곡의마무리는부드럽게하는거라생각든다.모든음악을 클라이맥스로연주할수없듯.",10,110,4,2014-05-21 00:07:00,0
33,Sina(qoop****),"갑자기 배트맨 허리가 나았고, 운동을한다고 욕들하시는 분. 영화를 잘보면 계절이 겨울로 바뀌었고, 5개월동안 시간이 남았다던 핵폭탄의 시간은 얼마 남아있지 않습니다. 제대로 영화를 보기나하고 평가했으면 좋겠군요. 역...",10,96,2,2014-11-16 10:28:00,0
34,gang****,영웅물 중에 배트맨 만큼 재밌는 영화 이제 안나올려나 영웅물은 마구 쏟아지는데 재미가 없네ㅋ,10,88,0,2013-06-20 09:33:00,0
35,세월(my11****),"""누구나 영웅이될수있다. 소년의 어깨에 코트를 덮어주며 아직 세상이 끝난게 아니라고 말하는 사람도 영웅이다.""",10,88,2,2014-10-11 00:53:00,0
36,네이놈(ik04****),박평식 6점...이런 망할,10,86,3,2013-11-17 19:35:00,0
37,미스즈(gkst****),누가 전작에 비해 허술하다고 하냐... 다크나이트는 이야기의 절정 중 한부분일뿐 다크나이트 라이즈는 그것을 끝맺음 할 완벽한 결말이였다. 배트맨을 내가 본 영웅물 중 최고 였고 다른 시리즈물 영화 중에서도 최고다. ...,10,81,2,2014-07-12 23:03:00,0
38,키체스(thin****),"1~3편의 질문 ""두려움""에의 답을 내리고 한 세계를 이루며 프리퀄 서사시는 끝난다.""전설이 끝난다"". 게다가 팀버튼 원작이 설 다른 대지를 남긴다. 마지막 충격과 전율에서 정신차렸을 때 한 세계가 막 완성됐음을, ...",10,83,5,2013-06-26 01:29:00,0
39,Hark(hark****),가장 완벽한 배트맨 시리즈. 과연 엔딩 끝난 뒤 나오는 'THE DARK KNIGHT RISE' 라는 글자에 소름이 안돋은 사람 몇이나 될까?,10,78,1,2014-04-30 00:48:00,0
40,최원재(wj52****),크리스찬 베일 좋음ㅋㅋㅋ,10,73,1,2013-08-18 01:04:00,0
41,Esther(to20****),"다크나이트 보다는 부족하지만 더 뜻있고,더 멋지고,더 감동있는 영화였고 내 속에 영원히 남을 영화중 하나다",10,79,12,2013-06-17 13:13:00,0
42,yaks****,결국엔 전설이 되었구나!!,10,65,1,2013-07-19 00:43:00,0
43,ssspppaa(joos****),내가볼땐 안죽은거 같은데...로빈등장떡밥은 너무 큰데,10,67,5,2013-06-26 11:37:00,0
44,고수풀(sy13****),"안 본 사람은 있어도, 한 번 본사람은 없을듯",9,63,4,2020-07-26 15:40:00,관람객
45,타르리그(xkdh****),최고다,10,59,2,2013-07-02 19:03:00,0
