,nickname,text,score,like,dislike,time,watch_movie
0,기차순무(heec****),재밌으면 추천 재미없으면 비추 눌러주세요,10,11564,4433,2018-12-19 09:55:00,0
1,fill****,엠버허드 졀라 이쁨ㅋㅋ,10,5443,243,2018-12-19 11:25:00,0
2,소원열차(alst****),DC 작품은 제임스완에게 맡기는걸로..,10,4864,535,2018-12-19 09:19:00,0
3,촌철활인(sian****),"이 따위로 평점 받을 영화는 아닌데...스토리는 뻔하지만,그래도 눈요기 재대로 했다. 대형 수족관에 2시간 동안 다녀온 기분이다.",10,4660,516,2018-12-19 09:27:00,0
4,스폰지밥(kuf4****),제임스완이 DC를 살리는군요 공포만 잘하는게 아니라 히어로물도 스타일 잘살리네요평론가 평도 5점넘는 영화 오랜만이고 잘 다듬은것 같습니다 돈은 안아까운 영화,10,3583,394,2018-12-19 09:41:00,0
5,달떵이(qkrg****),엠버허드때문에 2번이상은 볼듯,10,3217,261,2018-12-19 10:11:00,0
6,자유기사(gund****),DC는 제임스완에게 큰절 한번 해야 한다. 스토리야 토르의 해양버전이라고 할만큼 전형적 영웅 판타지지만 영화 연출이 가히 역대급이다. 특히 통통배에서 바다좀비(?)를 만나 지구중심(?)으로 가기까지의 시퀀스는 보면서...,9,2650,240,2018-12-19 12:53:00,0
7,빠냐냐(lepa****),진짜 존잼 ㅋㅋㅋ 와 이거 씨쥐처리 대체 어케한거지?? 제작진 영혼 갈아넣은게 느껴진다,10,2544,200,2018-12-19 10:08:00,0
8,genius(alex****),평점 단 애들 dc 안티팬들인가.... 이정도면 히어로영화가 갖춰야할건 다 갖췄다고 본다. 특히 영상미는 10점줘도 안아까움!,9,2549,354,2018-12-19 09:23:00,0
9,칸타타(viry****),오글거리지만 끝내준다. 놀이기구탄 느낌?,10,2169,228,2018-12-19 09:31:00,0
10,노량진공시충(ehdr****),기승전메라 메라 진짜 와.. 너무 예쁘다..,10,2003,129,2018-12-19 12:07:00,0
11,천년별(ghkd****),DC의 반격!  드디어 마블에 대적할 대항마가 나타났다,9,1860,387,2018-12-19 09:45:00,0
12,han9****,메라... 수많은 비주얼 속에서 압도적인..,10,1485,95,2018-12-19 14:56:00,0
13,박성주(psj9****),"4대 맨 아이언맨, 휴잭맨, 배트맨, 아쿠아맨",10,1542,302,2018-12-19 09:02:00,0
14,인간(tkek****),스토리는 여전히dc답게평범한데 영상미 분위기가 ㄹㅇ지림 그나저나 이번에도 엄마는 못벗어났네 ㅋㅋ,9,1162,107,2018-12-19 09:19:00,0
15,뱀파이어(sozi****),개재밌다 아맥 황홀경~,10,1088,154,2018-12-19 09:33:00,0
16,드래곤큐(bizk****),파워레인저 + 인디아나존스 + 어비스 + 아바타 + 클로버필드 + 쥬라기공원 + 고질라,8,877,83,2018-12-19 18:42:00,0
17,재이(oran****),dc영화 개봉은 믿고거르던 마블빠인데 아쿠아맨 괜찮습니다! 근데 왠지모르게 자꾸 토르생각남..스토리전개나 주인공헤어스타일때문에그런지.. 어쨋든 긴시간치고 지루함도없어요! dc 딱 이대로만 가다오~~,9,870,104,2018-12-19 12:53:00,0
18,무궁화꽃이(tmdw****),물맨붐은....온다가 아니라 이미 왔다....,10,860,134,2018-12-19 09:14:00,0
19,TAE(yuri****),이건만 갑이에요 영상미가 대박,10,758,98,2018-12-19 09:45:00,0
20,advkfj5454(zxcv****),진심 지금까지 모든 히어로 영화중에선 가장 최고의 비주얼들을 보여준다.. 가히 아바타급의 영상미와 새로운 세계를보여주는 영화 아쉬운부분도 있으나 히어로오락영화로썬 최고인듯,10,645,54,2018-12-19 13:35:00,0
21,장보근(bogl****),경쾌하고 아름다웠다아쿠아맨 다웠던 영화,10,611,80,2018-12-19 09:24:00,0
22,con1****,아쿠아맨 붐은 왔다!! 이제 DC 세상이 온다!!,10,654,126,2018-12-19 09:49:00,0
23,메이(koin****),DC가 드디어 해냈다!! 액션이 얼마나 박진감넘치던지..대박적..,10,590,79,2018-12-19 11:24:00,0
24,까마귀(cq20****),DC 코믹스 영화를 챙겨보게 만들 첫번째 이유,10,446,72,2018-12-19 09:03:00,0
25,사람이라네(kgl0****),재밌었어요 여주인공 너무 아름다워ㅛ,10,407,40,2018-12-19 18:52:00,관람객
26,JUY00N(dao0****),"원더우먼부터 dc가 가야할 길을 정확히 보여준 것 같다. 마블이 현실적인 영웅을 그린다면, dc는 신화의 인물같은 영웅을 그린다. 그렇기에 누군가에겐 다소 유치하거나, 오그라들 수 있지만, 그것들이 내가 dc를 좋아...",10,397,42,2018-12-19 18:58:00,0
27,보는건다조아(iles****),와!! 어제 시사회로 봣는데...완전 짱이었어요.. 완전 쵝오였어요.ㅜ,10,410,73,2018-12-19 09:40:00,0
28,Dio(savu****),"롯D왈드... 아쿠아x움, DC 해도 이것보다 싸게 입장할 수 없다.... 예매했는데 빨리보고싶어요.. 일단 기대점수로 올려요...후후...훗~~@",10,422,88,2018-12-19 09:08:00,0
29,jiy7****,니콜키드먼 싸울 때 전율 일었다 존멋터져,10,358,37,2018-12-19 17:05:00,0
30,왕눈이(deep****),부족한점이 있기는 하지만 1점주는건 아닌겄같다,9,403,87,2018-12-19 10:10:00,0
31,high****,어제 용아맥 시사로 봤는데 존잼! 꼭 아맥에서 보시길,10,390,95,2018-12-19 09:02:00,0
32,똥꼬(ikar****),IMAX로 첨 본 영화가 하필 이 영화라 익사하는줄,10,314,41,2018-12-19 17:44:00,0
33,앙건빵(geun****),재미는 있는데 뭔가 오글거리는 느낌이 계속 난다 ㅋㅋㅋㅋ,8,299,45,2018-12-19 11:02:00,0
34,가을하늘(scjj****),아바타 이후 눈호강 했다,10,285,34,2018-12-19 18:06:00,0
35,아프로(xaxa****),"스토리와 클리셰는 뻔했지만, 볼거리와 연출이 이제껏 DC보다 훨 나음, 일단 그냥  CG떡칠로 일관했던 다른 DC영화보단 훨 CG 이용 잘 함. 감독이 이렇게 중요합니다 여러분",9,285,40,2018-12-19 14:50:00,0
