,nickname,text,score,like,dislike,time,watch_movie
0,엽(holi****),나는 오늘을 구할테니 당신은 세상을 구해요,8,3222,328,2017-05-31 14:00:00,0
1,나랑가(ej2r****),갤 가돗 캐스팅이 신의 한수였네.,10,2301,457,2017-05-31 11:34:00,관람객
2,아드레날린(ghgh****),초반부엔 지리는데 중반부에 지렸다가 후반부 가서 지린다,10,2286,681,2017-05-31 01:13:00,0
3,태양이(016n****),DC히어로들의 역습이 시작되나? 그 스타트를 원더우먼이 잘 끊어준듯 너무 아름답고 최강인 원더우먼의 탄생이다 갤 가돗 캐스팅이 신의한 수,10,1605,425,2017-05-31 13:59:00,관람객
4,티키닭카티키닭카(zzor****),아 진심 본사람들만 댓글단거 맞냐? 그렇게 재밌냐?,10,1587,529,2017-05-31 05:41:00,0
5,gogl****,역시 갤가돗 이쁘고 멋있다,10,1291,286,2017-05-31 14:07:00,관람객
6,콜슨(jwa0****),드디어 DC가 해냈습니다. 여려분,10,1268,404,2017-05-31 06:40:00,0
7,이 터널은 선샤인(chan****),와.... 다행이다 dc 앞으로 계속 이런식으로 영화 만들어줘,9,1215,390,2017-05-31 07:23:00,0
8,동동(ydon****),마블과 비교를 떠나서 여성 히어로물중 아니 모든 히어로물중에 단연 최고입니다.. 이렇게 여성 히어로에서만큼은 DC가 먼저 선두를 달리게 되는군요,10,1057,325,2017-05-31 08:56:00,0
9,beyond(cine****),dc 작품 중에 가장 재밌고 쌈박하게 만들었다. 원더 우먼으로 이런 스토리를 만들어낼 줄이야.,10,929,268,2017-05-31 00:28:00,0
10,I am JB(jbsi****),초중반엔 멋있어서 소름. 후반부엔 유치해서 소름.,8,716,142,2017-06-01 15:13:00,관람객
11,Forever샤드(bang****),지금 로튼 96%임 미쳤음ㅋㅋㅋㅋ,10,779,320,2017-05-31 03:24:00,0
12,mrkk****,여성히어로의 가능성을 보여준 영화!,8,700,243,2017-05-31 10:35:00,관람객
13,리버사이드(fpel****),드디어 dc가 정신차렸다..,10,694,251,2017-05-31 00:09:00,0
14,쥰아(aram****),팔찌와 방패가 이렇게 통쾌하다니.,10,564,143,2017-05-31 16:12:00,관람객
15,rocker(nail****),최근 DC세계관 영화 중에 제일 재밌습니다,7,569,177,2017-05-31 14:06:00,관람객
16,에이브릴라빈(neib****),지젤이 원더우먼으로 살아 돌아온 것 만으로도 행복하다 최고,10,538,168,2017-05-31 00:08:00,0
17,Hana Van Beirendonck(hana****),갤가돗 진짜 여신. DC에서 제대로 여성 히어로 만들었네요!,9,488,154,2017-05-31 11:55:00,관람객
18,왕사자(ilov****),갓더우먼 ㅠㅠ와 개쩜 이건 또봐야함,10,462,178,2017-05-31 11:44:00,관람객
19,황현동(mana****),여주 하는 행동들은 하나같이 짜증나기만하고 액션신은 유치찬란. 종탑 무너지는장면에선 어이가 없어서 헛웃음밖에 안나왔다. 조연들은 사연있는것처럼해놓고 아무것도안하는 쩌리. 빌런이라는놈은 위엄이나 매력은 하나도없음. 두...,1,787,510,2017-06-04 04:36:00,0
20,박들후(psy8****),좀 유치하고 지루한 느낌이있었어요,7,590,314,2017-05-31 23:25:00,관람객
21,cpupupu(arma****),히어로의 시작을 알리는데는 이만한 영화가 없다고 생각한다. 그동안의 히어로 영화를 통틀어서도 손에 꼽는 쾌조의 스타트다,10,420,159,2017-05-31 14:28:00,관람객
22,연수(suju****),노잼이다.. 갤가돗은 이뻤다 그게 전부였다,1,619,366,2017-06-03 03:38:00,관람객
23,으뜸엄마(mati****),뭘 자꾸 지린다는거냐? 지린놈들은 요실금있는거니 가까운 병원가봐라. 나 원 아침드라마보다가 지릴놈들일세,1,474,243,2017-05-31 15:13:00,0
24,임호빈(cobi****),솔직히 생각보단 별로입니다,5,444,221,2017-05-31 22:59:00,관람객
25,내가(kolp****),전체적으로 잘 만들었고 재밌게 잘 봤습니다. 그리고 원더우먼이 어떤 히어로인지 이 영화로 말하고 싶었던게 뭔지 잘 보여집니다.,10,339,117,2017-05-31 11:41:00,관람객
26,BBOINGL(zzan****),갤 가돗 대박.. 원더우먼 완전 존멋임 ㅠㅠ  N차각ㅠㅠ!,10,311,110,2017-05-31 11:42:00,관람객
27,Lachdanan(prot****),"배댓슈 같은 막장 전개는 없지만 좀 지루한 편이고, 액션 씬은 화려하지만 전체 러닝타임에 비해 액션이 많지 않습니다. 보면서도 언제 싸우나 이런 생각이 듭니다.",6,290,101,2017-06-01 01:59:00,0
28,우디하디(shst****),대박.. 원더우먼 진짜 첨부터 끝까지 멋짐 ㅠㅠ,10,284,100,2017-05-31 10:57:00,관람객
29,돔(dond****),Dc의 다크나이트 이후의 최고작 이라고도 불릴만한 영화이다,10,500,344,2017-05-31 00:09:00,0
30,테리(wand****),초반부엔 지루한데 중반주에는 더지루하다가 후반부에는 집에 가고 싶어짐. 정말 지루하고 재미도 없는데 전투씬도 슬로모션에디시 영화 특유 bgm 나오고 진짜 오글거리고 후반부에 마구떄려패는 장면 정말 오글거림 dc영화는...,1,386,233,2017-06-01 12:15:00,0
31,아돌(ehdw****),사람들 평가가 너무 좋길래 엄청 기대하고 봤는데 되게 실망함 스토리 지루하고 유치하고 진부함 갤가돗 예쁘다고 10점 주는애들은 뭔생각으로 영화보냐? 1점짜리 영화는 아니지만 10점이 너무많아서 1점준다,1,281,130,2017-06-02 12:34:00,관람객
32,엉짱(w76j****),드디어 DC가 반격을 나섰다.. DCEU작품중 최고인건 말이필요없다..이제 저스티스 리그를 기다리면 되는걸까?,10,296,147,2017-05-31 07:27:00,0
33,소망(dkzl****),바쁜시간 쪼개서 영화관으로 나들이 가시는 분들. 이 영화 실 평점 4점입니다. 알고 보시면 당황스럽진 않을거에요. 청라 메가박스에서 보고 말씀드리는 겁니다. 평점 알바에 가린 진실을 알리고 싶어 말씀드리는 거니까 믿...,1,277,138,2017-06-03 17:31:00,0
34,단풍(yung****),여성 히어로는 DC 승!,9,254,120,2017-05-31 02:20:00,0
35,띠로리(chm5****),와.. 원더우먼 걸크러쉬 제대로다!!! 갤가돗은 넘나 이쁘고 ㅠㅠ,10,206,78,2017-05-31 11:41:00,관람객
36,머스탱(p2ar****),역시 군대 갔다온 여자의 액션연기란!!! 최고,10,237,109,2017-05-31 13:59:00,0
37,Sheldon(dhk9****),여기 다 평점 조작임?? ㄹㅇ 개 씹노잼 지루 그 자체 영화였는데여주 남주 얼굴만 좋지 스토리 ㄹㅇ 핵 망,1,208,82,2017-06-03 09:38:00,0
38,제주감귤(0102****),아 원더우먼 테마 우짤껴 진짜 음악 대박....,10,177,62,2017-05-31 00:12:00,0
39,livertine sss(arro****),야  이  워너  바보 수뇌부 들아  진작에  이걸로  세계관 구축했어야지!!,10,210,98,2017-05-31 00:26:00,0
40,박재민(hyun****),방금 보고왓는데 이런 쓰레기영화는 초딩들이 볼수준이던데 뭔 내용이 뒤죽박죽,1,220,109,2017-06-03 17:26:00,0
41,똥코볼(yess****),솔직히  사운드트랙 빼고는 별로인영화  갤가돗 비명소리 존나 이상함 그리고  dc최강자중 하나인 아레스를  존나 매력없는 수염할배로 만들어버림 ㅠㅠ 그리고 아레스 존나 먼치킨인데 원더우먼한테 개털림  그리고 유치뽕짝...,1,170,64,2017-06-04 12:52:00,0
42,Taehwi Lee(gold****),하...그리스신화 내용을 토대로  제작되었다는 말듣고 평점도 안보고 갔던 나는 바보....,1,185,86,2017-06-04 19:12:00,관람객
43,곰수니(goms****),끝까지 한시도 눈을 뗄 수가 없었다 ㅠㅠㅠ 진짜 DC의 희망이다!!,10,197,99,2017-05-31 11:42:00,관람객
44,오함마준비해야쓰겄다(css9****),갤가돗만 봐도 돈아깝지 않다 진짜 여신급 이다 스칼렛 요한슨? 꺼지라그래 코믹스의 최고의 여신은 갤가돗이다,10,233,137,2017-05-31 11:46:00,0
45,라밤바(laba****),"주인공이 역경을 극복하는  히어로물답게, 빈약한 스토리 및 후반부의 엉성한 편집을 갤가돗 혼자 겁나 캐리함.",1,168,73,2017-06-01 12:37:00,0
46,동입(cndg****),대립군 알바들 1점주는거 보소ㅋㅋㅋ,10,233,139,2017-05-31 07:32:00,0
47,zoon****,영화가 긴건 알았지만 중반부가 너무 지루해서 졸뻔...,7,170,78,2017-05-31 21:17:00,관람객
48,skyi****,엉성한스토리에 한숨만 나온영화 ㅡㅡ;;,1,218,130,2017-06-01 21:06:00,관람객
49,베네(qkrt****),으아아악 고통뿐이다!,1,154,74,2017-06-04 17:31:00,관람객
50,ㅇ(shin****),태어나서 본영화중에 가장 유치하고 재미없었다3류 영화중에 3류 영화 개연성따위는 찾아볼수없을정도로 말도안되는 전개...;;; 추석특선으로 티비에서 틀어줫어도 10분보다가 채널돌렸을듯..,1,179,101,2017-06-01 12:28:00,0
51,ofcl****,믿고 거르는 디씨  누가 한 말인지는 모르지만 명언으로 남을듯평점에 제대로 낚였다..또 속다니 !,1,156,83,2017-06-01 00:52:00,0
52,kyeo****,예고편이 영화의 전부인거 같습니다 기대 많이 했었는데....아쉽네요 기대가 너무 컸던건지...,2,179,106,2017-06-01 08:30:00,관람객
53,계구리(blen****),스토리 밸런스 붕괴. DC는 영화 전체 다시 리부트하는게 빠를듯.잘가시게. 나는 다시는 영화관 가서는 안본다.거의 드레곤볼 레볼루션 수준. 에네르기 파!!!! 끝.,1,110,40,2017-06-04 16:20:00,0
54,자문 자 답(just****),왜 마블마블 하는지 알았다,1,113,43,2017-06-04 14:04:00,0
55,kill****,망한집안을 첫재딸이 일으켜세우네요,9,95,27,2017-06-01 12:13:00,관람객
56,브라질(aalo****),지루합니다. 설명이 깁니다. 그런데 마블처럼 세련? 되게 풀어내지 못합니다. 주인공 이쁘고 잘생겼는데. 엄청지루함. 스토리 진부한게 이유. 액션신은 좋음,1,113,49,2017-06-03 03:43:00,0
57,불광동식용유(matt****),슈퍼맨보다 강하고 배트맨보다 멋있고 할리퀀보다 우아하다! 갤 가돗 그 자체가 원더우먼!!!♡,9,115,52,2017-05-31 04:55:00,0
