,nickname,text,score,like,dislike,time,watch_movie
0,야후예스(eocj****),블랙핑크ㅋㅋㅋ그 순간부터 대사 집중 안되고 노래만 귀에 맴돔,10,2336,419,2017-11-15 17:06:00,관람객
1,Mu(prau****),슈퍼맨 혼자만 너무 쎄서 밸런스가 무너졌다. 나머지 멤버 없어도 이길 수준? 배댓슈에선 슈퍼맨 뺨치게 강하고 본인 영화에선 신과 맞짱 뜨던 원더우먼이 왜 이렇게 약해진거냐..,6,1963,292,2017-11-15 19:47:00,0
2,yks0****,배트맨 능력은 돈이래ㅋㅋㅋ제일부럽냉,10,1277,182,2017-11-15 07:54:00,0
3,jinj****,혼자선 세상을 구할수 없다고???틀렸어 슈퍼맨은 혼자서 세상을 구할 수 있어ㅋㅋㅋ,6,1143,111,2017-11-16 04:08:00,0
4,블랙님(jgki****),예전 DC영화처럼 무겁지도않고 재밌게 봤음원더우먼은 봐도봐도 예쁘네,10,1331,412,2017-11-15 14:46:00,관람객
5,JM(wjda****),마지막처럼~ 마지막처럼~~,10,1105,260,2017-11-15 07:24:00,0
6,alsw****,플래시 : 그래서 초능력이 뭐에요?배트맨 : 난 부자야,10,649,102,2017-11-15 17:28:00,관람객
7,advkfj5454(zxcv****),볼만은하다... 그래서 더 아쉽다. 각 캐릭터 솔로영화 이후 나왔다면 지루할수 있는 부분들이 풍성한 액션 스토리에대한 이해들로 다 채워졌겠지만 아쉽다... 그래도 분명 배댓슈이후로 정신은 차린건같다,10,719,208,2017-11-15 17:43:00,관람객
8,이영국(lyk3****),15시에 개봉인데 아침부터 테러하는놈들 뭐야?,10,725,294,2017-11-15 07:31:00,0
9,애교만점(kanp****),전반부는 조금 지루하내요. 후반부 액션신은 볼 만하나 슈퍼맨이 오버파워라 캐릭터간 밸런스가 너무 맞지않는것같음 슈퍼맨만 있으면 다 나머지 멤버가 머가 필요하지 생각이 듬,5,607,190,2017-11-15 22:24:00,관람객
