,nickname,text,score,like,dislike,time,watch_movie
0,tang****,후반 40분 시퀀스의 CGI 효과는 가슴이 벅차고 놀랍다. 견고하고 정교하게 잘 만들어진 정석 히어로 블록버스터.,8,647,63,2013-07-02 00:35:00,0
1,attl****,1점주는 것들은 제정신이 아닌듯 느그들땜시 10점준다,10,640,116,2013-06-17 23:49:00,0
2,스나입허(tmsk****),솔직히 이만한 sf는 찾아봐도 없다..,10,579,98,2013-07-30 00:38:00,0
3,와양(dang****),2편이 기대되는 영화,9,465,53,2013-06-05 14:22:00,0
4,aaas****,어메이징 마블!,9,435,40,2013-06-02 17:32:00,0
5,설란(nalu****),너무 재미있게 봤어요~ 특히 마지막 부분 헐크가 로키 패대기 치는 장면 ㅎㅎ,10,390,17,2013-11-06 14:40:00,0
6,S비밀(ming****),덕후양성이 이해가는.. 이걸 왜 영화관가서 제때 안봤을까ㅜㅠㅠ 캐릭터 모두 매력터짐 끝나면 더 보고싶은 영화,10,289,9,2014-02-01 23:44:00,0
7,HelloGoodBye(ktk0****),특급  재료들을 모두 살려낸 쉐프,9,286,17,2013-09-12 21:26:00,0
8,blue****,스토리는 뻔하지만 재미 하나는 예술일세. 히어로물에서 신나게 웃은 건 처음이다 ㅋㅋ 엔딩 크레딧 끝까지 웃겼다 ㅋㅋ,10,262,15,2013-10-25 23:56:00,0
9,eksWkr(ghal****),어벤져스 잴 재밌음 누가 영화에서 슈퍼히어로들 이렇게 많이 나오는 거 상상이나 했겠음? 최고의 영화,10,258,18,2013-11-24 23:48:00,0
10,awesomelife(cjs3****),사공이 많은데도 배가 똑바로 갔다..,9,209,6,2016-04-10 01:30:00,0
11,버섯(luky****),영웅들도 여럿이니깐 더멋있네,9,194,9,2013-10-03 03:21:00,0
12,umba****,"이거 한편 보고 영화보는 취미가 생겼고, 마블빠가 되었고, 그동안의 마블 히어로 영화를 모두 찾아봤다. 윈터솔져, 에이지 오브 울트론도 기대중",10,166,3,2014-03-03 23:51:00,0
13,비밀(gall****),각 히어로들의 개성과 조화를 무리없이 조율. 특히 후반부 압도적 스케일과 물량의 액션 시퀀스는 입이 쩌억~ 참고로 쿠키영상에 나온 최강의 적 타노스는 2탄 아니고 3탄에 나오신답니다. 대승적 차원에서 소니만 협력해줬...,10,117,8,2013-12-28 00:07:00,0
