,nickname,text,score,like,dislike,time,watch_movie
0,전은호(eunh****),마블 3000만큼 사랑합니다,10,23672,662,2019-04-24 10:31:00,0
1,송(hiuh****),Avengers Assemble!,10,15676,442,2019-04-24 09:35:00,0
2,ubola(ubol****),I'm Ironman.,10,15284,473,2019-04-24 10:32:00,0
3,해피사과(qord****),아이언맨으로 시작해서 아이언맨으로 끝난다..,10,13524,552,2019-04-24 11:05:00,관람객
4,마즈(choi****),아스가디언즈 오브 갤럭시 벌써부터 기대됨 ㅋㅋㅋㅋ,10,11844,434,2019-04-24 10:47:00,0
5,이만호(manh****),히어로물보고 울줄 누가알겠습니까,10,10256,305,2019-04-24 10:07:00,0
6,메주0228693848(wook****),인피니티워가 10년을 무너뜨리는 영화라면엔드게임은 10년을 돌아보는 영화입니다,10,9710,260,2019-04-24 12:20:00,0
7,에헴(krth****),쥐가다살렸음 ㅋㅋㅋㅋ,10,8978,258,2019-04-24 15:26:00,0
8,김대훈(eogn****),마지막 한타에서 쌌습니다,10,8090,363,2019-04-24 10:51:00,관람객
9,tlsg****,10점 안주는 사람들은 마블에 6에서900까지밖에 애정이 없는거 ...,10,7595,440,2019-04-24 11:50:00,0
10,한승원(brya****),영화 늦게 볼 수밖에 없는사람들을 생각해서 스포 자제해주세요ㅠㅠㅠ,10,7318,608,2019-04-24 09:07:00,0
11,jjw0****,토르 등장씬보다 멋있는 어벤져스 집결씬,10,6694,181,2019-04-24 10:40:00,0
12,도망노비(rlad****),"내 어린시절 11년을 즐겁게 해준 어벤져스 원년 멤버들... 마블 영화 한편 한편이 저의 초중고 시절, 울고 웃었던 추억이 되었어요. 아 눈물날거같애. 그동안 즐거웠고 감사했습니다.",10,5812,204,2019-04-24 09:41:00,0
13,pkt(anie****),고맙다.나의 20대를 채워줘서,10,5614,175,2019-04-24 10:51:00,관람객
14,플레기(azz2****),와 내가 3시간동안 화장실을 안갔어 ;;;,10,5257,162,2019-04-24 09:38:00,0
15,케사장(kyun****),가장 큰 충격은 쿠키영상이 없단거다,8,5437,456,2019-04-24 10:29:00,0
16,AlphaHyeon(alph****),헤일... 하이드라...,10,4540,158,2019-04-24 10:42:00,0
17,민샥(hong****),토르 등장씬은 마블 역대 명장면중 2위로 물러났다,10,4370,145,2019-04-24 13:00:00,0
18,Feel(jp54****),토르의 뱃살은 밸런스를 위해서라는 게 학계의 정설,10,4354,137,2019-04-24 13:41:00,관람객
19,Expiration(cras****),뭐 심하게 재미있지는 않고... 한 4번정도만 봐야겠어요... 아이맥스로..,10,4280,156,2019-04-24 12:29:00,관람객
20,정순종(jmk8****),캡틴이 행복하면 그걸로 됐어.,10,4165,130,2019-04-24 13:53:00,0
21,정모(wjda****),하일하이드라 ㅋㅋㅋㅋ 650석 사람들 다빵터졌다,10,3876,185,2019-04-24 11:36:00,0
22,어린버섯(wise****),"자기밖에 모르던 사람은 모두를 위하고타인밖에 모르던 사람은 자기를 위할 줄 알게되는지금까지의 인생에 복수(avenge)할 줄 아는 사람, 그런 영웅들의 이야기",10,3756,98,2019-04-24 21:59:00,0
23,JB(dksw****),"앞으로 얼마나 더 재미있고 얼마나 더 웅장한 영화들이 나올지 모르겠지만, 2008년 아이언맨1을 시작으로 2019년 어벤져스 앤드게임까지 내 인생의 영화시리즈중 최고의 10년을 선사해준 마블에 감사합니다. 어벤져스 ...",10,3396,92,2019-04-24 10:41:00,0
24,김시철(tlcj****),그래서로키는어디로감?,10,3081,128,2019-04-24 11:02:00,0
25,amazing(mins****),진짜 대박이라는말밖에 안나옵니다...,10,2983,186,2019-04-24 09:07:00,0
26,jing****,막판에 캡틴마블을 중심으로 여자 히어로들만 뭉쳐서 싸우는 장면이 있는데 마블회사가 페미를 신경쓴것 처럼 보인다.,10,3677,1200,2019-04-24 12:54:00,0
27,이준혁(dlwn****),<관람 전 필수사항>모든 마블시네마틱유니버스 보기 아이언맨1 부터...,10,2511,103,2019-04-24 10:03:00,0
28,이재근(jkle****),이 모든게 닥터 스트레인지의 엔드게임이었다는거..,10,2423,62,2019-04-24 14:39:00,0
29,kof3****,한마디만 할게 스포아니다 화장실 갈타이밍은 도쿄 그때 가라,10,2412,59,2019-04-26 10:33:00,0
30,엘지직관두번(kimt****),스포하는 색히들 평생 저주 받아라,10,2539,195,2019-04-24 09:32:00,0
31,하하하하ㅡㅡ(altj****),히어로물 뻔하다고 여친때메 이거 안보고 영화 생일봤음 상영관1개였는데 여친 나 단두명 이었음 그 넓은 영화관에진짜 존나진지하게 헤어질까 고민중임,10,2515,422,2019-04-24 16:18:00,0
32,이응이응(djju****),마블을 대표하는 가장 상반된 두 히어로가 맞이하는 가장 서로에 가까운 결말,10,2045,40,2019-04-24 19:13:00,0
33,thislove(two_****),하워드 스타크와 하워드 포츠가 만날 때 너무 애잔했다..,10,2017,33,2019-04-25 03:53:00,0
34,로그인하는놈들디짐(doyo****),영웅들 한 곳에 모이는 씬에서 지립니다...,10,1893,28,2019-04-24 12:09:00,0
35,rude****,3시간에 담은 11년 마블의 역사 인정,10,1899,34,2019-04-24 10:55:00,관람객
36,악튜러스888(arct****),자신만을 위해 살아온 아이언맨은 모두를 위해 희생하고 모두를 위해 희생해온 캡틴은 자신을 위해 선택했다,10,1913,49,2019-04-25 18:48:00,0
37,sjh0****,그래서 아스가디언즈 오브 갤럭시는 언제 개봉인가요?ㅋㅋㅋ,10,1865,43,2019-04-24 11:25:00,0
38,insilio12(ghkj****),I'm Iron Man.,10,1883,89,2019-04-24 11:16:00,관람객
39,Akkkkkkkkkkkkkk(kiss****),엉덩이는 역시 미국 엉덩이!,10,1817,59,2019-04-24 13:19:00,0
40,Mylove709(mylo****),솔직히 극한직업이랑 이 영화랑 같은 표값인게 말이안됨ㅋㅋ,10,1843,130,2019-04-24 21:10:00,0
41,연홍(yooo****),해리포터 마지막 시리즈 보다 더 해 이 느낌은...,10,1738,75,2019-04-24 10:37:00,0
42,닭둘기(fnvl****),이 영화 제대로 즐길려면 마블 전작 다 보고 오셔야합니다.,10,1645,45,2019-04-24 12:48:00,관람객
43,나날(lst9****),조조예매하고 못일어났다..,10,1719,125,2019-04-24 12:14:00,관람객
44,miinaedahhm(miky****),7시 처음 상영영화로 봤어요 그냥 아무말도 안하겠습니다 제가 느낀 감정을 보는 모든분들이 느꼈으면 좋겠어요 일단 보세요 제발ㅠ,10,1680,92,2019-04-24 10:39:00,0
45,Seonk(keum****),인피니티워가 더 낫다. 근데 평생 기억에남게 될 건 엔드게임이다.,10,1606,130,2019-04-24 11:00:00,0
46,눈꽃(blea****),시간가는줄 모르고 봤지만 액션만 기대하면 절대 안됩니다. 각 캐릭터별로 스토리를 풀다보니 액션보단 드라마영화에 가깝다고 느껴지네요.. 느낌은 예전에 다크나이트를 보고 다크나이트라이즈를 본느낌?? 4가 정말 재밌긴 하...,10,1718,309,2019-04-24 10:41:00,0
47,홍대똘아이(msp5****),"3,000 love you",10,1262,39,2019-04-24 11:14:00,0
48,차박손(rjsd****),진짜 마지막에 너무 먹먹햇어요... 마블팬이시라면 꼭 보셔야해요..,10,1241,35,2019-04-24 10:15:00,0
49,yaku****,오랜 친구를 떠나보내는기분..공허하다...좌석에서 일어나자마자 그립다,10,1224,21,2019-04-24 19:55:00,0
50,도시여우(city****),아이언맨으로 시작해 아이언맨으로 끝나는 대장정,10,1187,40,2019-04-24 10:49:00,관람객
51,가닝(alst****),마블의 시대에 살게 해주셔서 감사합니다,10,1082,28,2019-04-24 11:57:00,0
52,pdga****,다음 아이언맨은 아이언맨3에나온 꼬마애구나...,10,1036,85,2019-04-24 11:30:00,관람객
53,tlsg****,아이언맨1부터 본사람들은 알꺼에요 이영화는 그동안 본 모든걸 보상받을 수 있는 영화라는걸,10,962,21,2019-04-24 13:29:00,0
54,egsiduwj(dhek****),감히 내가 평가 할 수준의 영화가 아니다... 10점도 부족하다 별점 3000만큼 준비해줘요...ㅠㅠ,10,934,48,2019-04-24 11:21:00,0
55,god7****,들쥐가 양자역학기계의 버튼을 누를 수 있는 확률 = 세상을 살릴 수 있는 확률 = 1/1400만 크...,10,902,23,2019-04-25 00:55:00,0
56,Rot0(roto****),엔드게임이라는 부제는 누가 붙혔는지는 몰라도 진짜 완벽하다,10,883,23,2019-04-24 13:07:00,관람객
57,배신왕(terr****),옆에 여자 입틀어막고 보더라 물론 나도 같이막고봄,10,895,37,2019-04-24 10:49:00,0
