,nickname,text,score,like,dislike,time,watch_movie
0,유유(foxm****),한국사람들 급해서 마지막 최고 정점을 못보고 막 나감 ㅜ 왜그래요..ㅜㅜ,10,5542,802,2015-04-23 01:24:00,0
1,별이(ilu3****),하 1편이 잘되면 2편은 망한다더니... 누가 그래 이 영화는 미쳤어,10,3450,1015,2015-04-23 00:54:00,0
2,비토다츠야(outs****),충무로에서 몇년간 조폭얘기나 끄적일때 헐리웃은 악당조차 업그레이드 된다.,9,2817,455,2015-04-23 10:38:00,0
3,fbi0****,나어릴적 아빠와우뢰매보러구 줄섰는데 세월은흘러 내따내미와 어벤져스보러줄을섭니다 TT,10,2594,441,2015-04-23 08:25:00,0
4,장난하냐(cgs0****),내가 영화관에서 한국영화를 안보는 이유,10,2369,733,2015-04-23 02:05:00,0
5,dbtl****,오늘 시사회다녀와서 생전처음으로 평점남깁니다. 긴말말고 걍 가서 보세요,10,2003,551,2015-04-23 00:45:00,0
6,Ilpleutsurlaroute(dker****),어벤져스 제목만 들어도 설렌다,10,1755,324,2015-04-23 00:00:00,0
7,꾼쟁이(feel****),한동안 놀림 받겠군....,9,1428,212,2015-04-23 11:02:00,관람객
8,RHJ(pros****),"스케일은 1못지않게 컸지만 더 추가된 등장인물들과 밸런스나 영화의흐름들이 조금 실망이었습니다 조금 어수선한면들이 많았고 마지막 극의 후반까지 긴장감을 쭉 가져가는 것이 조금 부족 했습니다, 너무 한번에 많은 것을 보...",6,2067,1039,2015-04-23 13:12:00,관람객
9,준호(june****),전체적으로 무거워 졌지만 볼거리도 충분했고 히어로들은 능력과 개성은 잘 살려주었다.,10,1197,238,2015-04-23 08:23:00,0
10,lzxe****,마지막 장면 꼭 보고 가십시오 ㅋㅋㅋ,10,1030,160,2015-04-23 11:07:00,관람객
11,quantum(ropk****),편집에서 약간 아쉬운 감이 있다. 한국이 생각보다 많이 나와 반갑더라.,7,972,257,2015-04-23 11:26:00,관람객
12,hysaran(aran****),서울ㅋㅋ서울 나오는 장면에서 웃음이 피식 나는ㅋㅋㅋㅋ,10,740,67,2015-04-23 19:04:00,관람객
13,이승호(tmdg****),이제 시빌워가 기대된다.극 초반에 단체로 등장할 때 소름 쫙.,9,678,96,2015-04-23 13:38:00,관람객
14,가오나시(phj9****),요즘 남자들도 에코백 하나씩은 들잖아요 팬티 꼭챙겨가;,10,914,357,2015-04-23 00:16:00,0
15,TopEames(thsg****),어머니 시험망했어요..,10,643,106,2015-04-23 07:03:00,0
16,BIZARRE(pyb0****),퀵실버는 역시 엑스맨의 퀵실버가 더 낫네요.,8,671,144,2015-04-23 15:12:00,관람객
17,마운(moun****),이건 뭐 저리 많은 캐릭터들을 어떻게 이렇게 살리는지..,10,551,81,2015-04-23 11:02:00,0
18,시안테(bloo****),남자는 등으로 말한다..마블 세계관을 조금이라도 알고 봐야 재미가 배가 되리라고 생각합니다,10,580,146,2015-04-23 10:24:00,관람객
19,한 방에 끝내(hae1****),한국 생각보다 구리게 나와ㅜ,7,522,143,2015-04-23 14:20:00,0
20,min8****,재미있는데 서울이 무슨 시골처럼 나와서 좀 아쉽다는..,9,426,71,2015-04-25 08:33:00,관람객
21,영감탱구(asur****),헐크버스터 씬에서 지렸다,10,369,55,2015-04-23 13:56:00,0
22,gmld****,기대 많이했는데 좀 지루했어요...,6,710,403,2015-04-23 12:33:00,관람객
23,youm****,지루함..스토리 전게에 핵심이 미약함...,7,802,509,2015-04-23 13:56:00,관람객
24,엉짱(w76j****),어제아이맥스3D로 사사회더녀왔는데 3D효과도 좋고...무엇보다 유머코드도 너무웃겼네요  언능가서보시길,10,384,123,2015-04-23 07:50:00,0
25,피부멘토HOONZ(hoon****),생각보다 수현도 많이 나오고 액션장면이 많아 즐거웠습니다.,10,312,88,2015-04-23 14:48:00,관람객
26,봉쓰(hoy4****),기절해 기절해 기절해 기절해 기절해,10,248,51,2015-04-23 15:00:00,0
27,alls****,기대는 많이하지 마세요~,8,408,212,2015-04-23 18:07:00,관람객
28,song****,내 인생에서 어벤져스라는 영화를 볼 수있어서 정말 좋다...,10,283,89,2015-04-23 11:03:00,0
29,슈퍼맨이되고싶은여자(awoo****),액션과 볼거리는 화려한데 보는내내 지치네요..초반은 재밌게봤는데....러브라인은 왜넣은건지 모르겠고 좀 정신도 사납고 .중반에는 루즈해서 졸뻔했어요..;딱 7점짜리 영화라고생각합니다.,7,331,140,2015-04-23 17:15:00,0
30,ray0****,가히 올해 최고의 작품이라 생각된다... 예상으로 1200만 명이 관람할 것이라는 추측을 해본다..,10,424,250,2015-04-23 01:46:00,0
31,yuwo****,마지막 타노스 개쩜 ㅎㅎ 비젼도 졸멋,10,273,101,2015-04-23 12:41:00,관람객
32,행쇼(gudr****),작품성 운운하지 말자.. 어벤져스 그 자체만으로도 화려하다!,10,278,130,2015-04-23 05:48:00,0
33,cdch****,생각보다 별로ㅠㅠ너무기대했나보다,7,270,141,2015-04-23 21:07:00,관람객
34,에피쏘드(zkdl****),기대했던만큼 역시재미있네~,10,259,133,2015-04-23 10:56:00,관람객
35,망고개미(skwo****),DC영화보다 마블영화가 대단한 이유는 캐릭터들의 능력 밸런스가 절묘하다는 거다..,10,155,41,2015-04-23 11:58:00,0
36,이다해(love****),난 어쩔수 없는 마블덕후인가봄ㅋㅋㅋㅋ너무재밌었어요ㅋㅋ한번더 보고싶당,10,162,59,2015-04-23 16:57:00,관람객
37,히헛(huih****),솔직히 지루한감이없진 않았다..아쉬워,6,167,65,2015-04-24 02:29:00,관람객
38,유리_Kelly(love****),"어벤져스 관련영화 (아이언맨, 토르 등...) 안 보신분들이라면 비추입니다 -_-  대충 내용은 알겠지만 뭔가 영화에 몰입이 안돼ㅜㅜㅜ 하품만 30번은 하다 나온것 같네요.",6,233,132,2015-04-23 16:22:00,0
39,책갈피(vajr****),그냥 블록버스터 무비입니다. 어디서 뭘 느껴야할지 정신없이 혼란하기만 했네요.,6,224,127,2015-04-23 17:16:00,0
40,kisz****,와 역시 어벤저스다...  진짜 괜히 마블이 아니네ㅋㅋ 마블 세계관을 안다면 맨마지막 보고 소름돋았을꺼임,10,125,36,2015-04-23 13:55:00,0
41,momo****,"토르가 좀 웃기고, 중간에 헐크하고 아이언맨 치고 박고 할 때가 제일 재밌었음. 그외엔 그닥..",8,130,41,2015-04-23 15:19:00,0
42,콘기사(ocyo****),생각보다잼없엇음기대이하,4,325,239,2015-04-23 14:11:00,관람객
43,사이버존(obch****),여기다 10점을 안주면 어디다 주려고 짜게 굴지 말자 10점 맞다,10,208,129,2015-04-23 10:55:00,0
44,미르미르(kung****),어벤저스2에 한국이 나온다는게 대박!,10,148,77,2015-04-23 13:53:00,관람객
45,그리(yace****),기대를 너무 했나보다..,7,123,54,2015-04-24 02:41:00,관람객
46,교촌도적(eeem****),재밋어요 ㅎㅎ 강추입니다,10,153,85,2015-04-23 10:26:00,관람객
47,베엥글(kny7****),영화관으로 소풍 온 옆사람 때문에  집중을 못 해서 그런가...(뭔 먹을걸 그렇게 싸왔는지...  영화 내내 먹더라..ㅠ) 1보다는 재미있지 않았지만..  싸우는 장면도  꽤 재미있었고 마블 특유의 유머도 재미있었다...,8,187,121,2015-04-23 09:36:00,관람객
48,R_N(pqpq****),아 진짜 스케일 커지는것 보소 ㅋㅋ자비스 어쩔껍니까 내 사랑 자비스가 앜ㅋㅋ,10,100,36,2015-04-23 12:11:00,관람객
49,baey****,기대를 많이한건가??ㅠ,5,100,38,2015-04-23 23:56:00,관람객
50,limd****,생각 보다 별로엿음 졸려요,5,96,35,2015-04-25 13:04:00,관람객
51,유정만리(yski****),뭘 더 바라는 거야? 최고구먼! 한국의 너저분한 영화보다  만배는  낫다.,10,126,65,2015-04-23 15:06:00,0
52,수면중(iris****),기대하고 보면 뭔가 2% 부족함을 느끼고아무생각없이보면 볼거리 가득한 sf영화임,8,84,25,2015-04-23 21:27:00,관람객
53,제네시스(mogo****),지루하다는애들  전투씬만보고 스토리  전개는 신경 안쓰냐???  수준 답답하다,10,339,282,2015-04-23 10:55:00,0
54,zhen****,"스케일은 매우 웅대하나,상대적으로 스토리 찌임새가 정신없이 구성되어 있어내용을 좀더 간결하게 했으면 좋았겠다는 의견임",6,70,14,2015-04-24 18:11:00,관람객
55,tlsg****,재밌음. 볼거리많고 서울이 디게 오묘하게 나옴ㅋㅋ,8,98,42,2015-04-23 12:48:00,관람객
56,나르샤(inev****),"시사회 가서 봤지만, 영화관 가서 또 보고 싶은 영화..",10,98,47,2015-04-23 08:29:00,0
57,sogi****,스토리는 기대하지마라. 그냥 눈요기만 한다고 보면 된다. 난 마지막까지 보고 입에서 절로 욕이 나왔다. 내가 타락한건지 동심을 잃은건지도 모르겠으나.. 진짜 유치하고 단순한 작품이었다,4,169,119,2015-04-23 16:52:00,0
58,마래모해(cute****),소문난 잔치에 먹을게 없다.딱 이거네요ㅠㅠ큰기대마시고 그냥 보세요.솔직히 전편보다 못해요ㅎㅎ지루함도 있고 액션도 그다지...분노의질주가 훨씬 나았음!,6,129,81,2015-04-23 15:05:00,0
59,yook****,그냥 보셈 난 9번더볼꺼임,10,104,59,2015-04-23 10:55:00,0
60,핑크오리(indr****),1시간30분은 지루했고 마지막 30분정도 몰입했어요하품 다섯번넘게한듯..,5,106,61,2015-04-23 17:12:00,0
61,승쨩(skhj****),재밌지만 대단하다고 할 정도는 아니고3편을 위한 중간다리 역할을 하는 정도?울트론을 비록해서 인물들 설정이 심하게너프먹은건 정말 아쉽다,9,63,20,2015-04-23 18:20:00,관람객
62,plys****,그냥 재밌어~ 울트론이 너무 약한거 같긴 하지만~ 타노스 개기대되네~ㅋㅋㅋ,10,60,20,2015-04-23 16:47:00,0
63,LOVEEW(dkdl****),미쳤다. 이건 무조건 N차 찍어야 된다. 전작보다 별로라는 기자들 설레발에 겁 먹었는데 그 기사 쓴 기자 혼구녕을...! 멤버들과의 사이도 두터워졌고 내용 또한 알차고 마무리까지 완벽하다! 내 사랑 어벤져스!,10,89,51,2015-04-23 10:27:00,0
64,love****,"구글에 어벤저스 관련 비평가들 글에 제일 많은 평가가 첫째, 놀랄정도로 스토리 연계성이 부족하다 둘째, 엄청난 실망이다 이런이야기가 쏟아지고 있는데.. 평점등록 알바가 얼마나 무서운지 이 댓글라인이 보여주고 있군.",1,79,43,2015-04-25 16:22:00,0
65,tois****,1편보다못해요 역시헐크는짱,8,57,22,2015-04-23 20:41:00,관람객
66,joyf****,"뭐, 긴말안한다. 사람마다 다르겟지만 보험용팬티 한장 정도는 챙겨가도 나쁠거 없다. 그리고 영화보기전에 물 너무 마시거나 영화도중에 콜라 너무 들이키면 보험용을 진짜 써야될지도 모르니까 조심들해라.",10,117,82,2015-04-23 06:31:00,0
67,청결깔끔(soot****),지루하고 놀라울게 없었음.,1,87,54,2015-04-24 01:46:00,0
68,엄성(tjdd****),극장가서꼭보세여개꿀잼임,10,80,48,2015-04-23 10:26:00,관람객
69,namb****,스토리는억지스럽고 무조건 때려부순다 어벤져스팬아니면 보지말것,1,47,16,2015-05-01 09:48:00,0
