,nickname,text,score,like,dislike,time,watch_movie
0,순대볶음(gdcv****),"닥터 스트레인지 마지막 대사 ""이제 다 끝났어""는 오역입니다. ""이게 마지막 단계야""가 옳은 번역입니다. 모두들 볼 수 있게 위로 올려주세요. 또 마블의 번역가 박읍읍씨가 해냈네요. 영화...",10,23713,567,2018-04-25 15:34:00,0
1,RecOn(zkrp****),번역가좀 짤라주세요 제발,1,14999,550,2018-04-25 16:26:00,0
2,wndu****,그렇다. 토르는 신이엿다...,10,12922,299,2018-04-25 10:54:00,관람객
3,박우진(wls8****),그냥 너무 충격먹어서 할말이없다...,10,9509,306,2018-04-25 10:32:00,0
4,별명(bomu****),내년까지 살아가야 할 이유가 생겼습니다,10,8785,255,2018-04-25 11:22:00,관람객
5,창전동비욘세(anna****),3시간짜리 어벤져스4  예고편보고옴,9,8357,306,2018-04-25 13:07:00,0
6,천냉(0806****),토르 지구 귀환 씬에서 탄성이 절로 나옴,10,7765,118,2018-04-25 15:35:00,0
7,rlar****,영화는 너무 좋은데 자막 돌았나? 닥터 스트레인지가 마지막에 이젠 다 끝났어가 아니라 이제 최종단계야가 맞는 해석아님? 글고 쿠키영상에 마더파커를 어머니찾는 효자로 만들어놨네ㄷㄷ 영화의 재미를 자막이 반감시키는듯 하...,10,6791,154,2018-04-25 13:14:00,0
8,송호종(ax_e****),마블한테 댓글알바랜다 ㅋㅋㅋ마이클잭슨이 음반사재기 하는소리하네,9,5619,208,2018-04-25 10:13:00,0
9,alsl****,타노스에게 당하고도 주늑들지 않았던것은 토르뿐이였다영화마지막 4살짜리 아이처럼신을찾는 캡틴과 스타크의 좌절..결국 그들도 영웅이기 이전에 재앙과 전쟁이 두려운 그저 인간이었다는것 누가쎄다 약하다보다 인간과 신의차이를...,10,5514,208,2018-04-25 13:31:00,0
10,ClasS(perk****),"성지예약)) 잘봐라 닥터스트레인지가 첨에 분명 느그들 다 죽어도 타임스톤 지킨다고 했지 글구나서 이기는 경우 1개라했고 근데 토니 죽기직전에 타임스톤을 넘김 이건, 타임스톤을 넘겨야만 승리한다는것. 여기서 예측=타노...",10,6560,1309,2018-04-25 18:19:00,0
11,Henry(henr****),이 영화의 최고의 빌런은 번역가다.,9,4788,83,2018-04-25 16:45:00,관람객
12,스미스(surp****),타노스는  손가락 튕기는것 만으로 어벤져스의 진골과 성골을 구별한다.,10,4487,111,2018-04-25 14:22:00,0
13,김혜린(hyer****),미세먼지 원인이 타노스 였다...,7,4448,131,2018-04-25 15:38:00,0
14,효르스(dar1****),스타로드 때문에 망한영화...,10,5350,1217,2018-04-25 11:42:00,0
15,김진성(kjs9****),진짜 영화 다끝나고 나서 영화관에 사람들 전부다 벙쪄있다.. 본사람만 알듯..,10,4073,102,2018-04-25 11:03:00,0
16,일체유심조(esot****),유튜버 추측한 인간들 다 틀렸어 ㅋㅋㅋ,10,4032,133,2018-04-25 11:43:00,0
17,목욕탕(kang****),본식사를위한 에피타이져를 너무 거하게 차려놓음,10,3818,145,2018-04-25 11:07:00,관람객
18,pooh(zsez****),토르가 이리치이고 저리치여도 신은 신이였다,10,3520,50,2018-04-25 12:37:00,관람객
