형태소,품사,분류,카운트
!,Punctuation,1,9
!,Punctuation,6,2
!,Punctuation,7,1
!,Punctuation,8,4
!,Punctuation,9,11
!,Punctuation,10,44
!!,Punctuation,1,1
!!,Punctuation,9,5
!!,Punctuation,10,31
!!!,Punctuation,1,2
!!!,Punctuation,8,1
!!!,Punctuation,9,4
!!!,Punctuation,10,18
!!!!,Punctuation,1,2
!!!!,Punctuation,9,1
!!!!,Punctuation,10,3
!!!!????,Punctuation,10,1
!!@@@!,Punctuation,8,1
!),Punctuation,10,1
"""",Punctuation,5,2
"""",Punctuation,10,2
',Punctuation,1,4
',Punctuation,10,5
(,Punctuation,9,1
(,Punctuation,10,1
(?),Punctuation,1,1
(?),Punctuation,10,1
),Punctuation,10,1
*-_-*,Punctuation,10,1
+,Punctuation,10,1
+-,Punctuation,10,1
",",Punctuation,1,38
",",Punctuation,4,4
",",Punctuation,6,1
",",Punctuation,7,1
",",Punctuation,8,3
",",Punctuation,9,2
",",Punctuation,10,36
",,",Punctuation,1,2
",,",Punctuation,8,1
",,,",Punctuation,10,3
",,,,",Punctuation,10,1
->,Punctuation,1,1
.,Foreign,10,1
.,Punctuation,1,210
.,Punctuation,2,2
.,Punctuation,3,8
.,Punctuation,4,10
.,Punctuation,5,3
.,Punctuation,6,11
.,Punctuation,7,7
.,Punctuation,8,30
.,Punctuation,9,40
.,Punctuation,10,154
.!,Punctuation,10,1
.',Punctuation,10,1
.),Punctuation,9,1
..,Punctuation,1,69
..,Punctuation,2,2
..,Punctuation,5,1
..,Punctuation,7,10
..,Punctuation,8,4
..,Punctuation,9,4
..,Punctuation,10,67
..!!,Punctuation,10,1
..!!!,Punctuation,10,1
...,Punctuation,1,110
...,Punctuation,2,3
...,Punctuation,3,1
...,Punctuation,4,4
...,Punctuation,5,5
...,Punctuation,7,6
...,Punctuation,8,7
...,Punctuation,9,10
...,Punctuation,10,57
...!!!!,Punctuation,10,1
...(,Punctuation,10,1
....,Punctuation,1,22
....,Punctuation,2,1
....,Punctuation,3,1
....,Punctuation,7,1
....,Punctuation,8,1
....,Punctuation,9,6
....,Punctuation,10,14
....=,Punctuation,9,1
....?,Punctuation,5,1
...;;;,Punctuation,1,1
