형태소,품사,분류,카운트
!,Punctuation,1,6
!,Punctuation,3,1
!,Punctuation,5,2
!,Punctuation,6,2
!,Punctuation,8,2
!,Punctuation,9,3
!,Punctuation,10,11
!!,Punctuation,1,1
!!,Punctuation,8,1
!!,Punctuation,9,1
!!,Punctuation,10,5
!!!,Punctuation,4,1
!!!,Punctuation,9,2
!!!,Punctuation,10,3
!!!!,Punctuation,1,1
!!!!,Punctuation,7,1
!!!!,Punctuation,10,4
!!!????,Punctuation,10,1
"""",Punctuation,1,1
&,Punctuation,7,1
',Punctuation,1,2
',Punctuation,5,4
',Punctuation,7,2
(,Punctuation,1,6
(,Punctuation,5,1
(,Punctuation,10,5
(...,Punctuation,7,1
(?),Punctuation,6,1
),Punctuation,1,2
),Punctuation,9,3
),Punctuation,10,5
"),",Punctuation,1,2
+,Punctuation,5,5
",",Punctuation,1,21
",",Punctuation,2,4
",",Punctuation,3,2
",",Punctuation,4,2
",",Punctuation,5,8
",",Punctuation,6,18
",",Punctuation,7,18
",",Punctuation,8,10
",",Punctuation,9,2
",",Punctuation,10,6
",,,",Punctuation,7,1
",,,,",Punctuation,7,1
",.,.,.,.,.,.,.,.,.,.,.,.",Punctuation,1,1
",...",Punctuation,7,1
-,Punctuation,7,1
.,Punctuation,1,71
.,Punctuation,2,6
.,Punctuation,3,6
.,Punctuation,4,7
.,Punctuation,5,37
.,Punctuation,6,32
.,Punctuation,7,32
.,Punctuation,8,34
.,Punctuation,9,20
.,Punctuation,10,48
".""",Punctuation,1,1
.),Punctuation,1,1
".,",Punctuation,4,1
".,.,.,.,.,",Punctuation,1,1
..,Punctuation,1,40
..,Punctuation,2,3
..,Punctuation,3,3
..,Punctuation,4,12
..,Punctuation,5,16
..,Punctuation,6,15
..,Punctuation,7,23
..,Punctuation,8,10
..,Punctuation,9,5
..,Punctuation,10,5
...,Punctuation,1,44
...,Punctuation,2,2
...,Punctuation,3,4
...,Punctuation,4,8
...,Punctuation,5,17
...,Punctuation,6,22
...,Punctuation,7,17
...,Punctuation,8,10
...,Punctuation,10,18
...),Punctuation,1,1
....,Punctuation,1,5
....,Punctuation,2,1
....,Punctuation,4,4
....,Punctuation,5,3
....,Punctuation,6,5
....,Punctuation,7,7
.....,Punctuation,1,1
......,Punctuation,6,1
..?,Punctuation,3,1
..?,Punctuation,7,1
/,Punctuation,1,1
/,Punctuation,7,1
0,Number,6,1
0시,Number,7,1
1,Number,1,5
1,Number,2,1
1,Number,3,1
1,Number,6,3
1,Number,8,1
1,Number,9,1
1,Number,10,4
1%,Number,1,1
1/5,Number,2,1
10,Number,1,4
10,Number,5,1
10,Number,7,2
10,Number,8,1
10,Number,10,3
100,Number,7,1
100,Number,10,1
10년,Number,5,1
111,Number,1,1
12,Number,6,2
120분,Number,10,1
15,Number,1,1
15분,Number,1,1
15시,Number,10,1
15일,Number,7,1
170분,Number,10,1
19년,Number,1,1
1~3,Number,10,1
1만,Number,10,1
2,Number,1,2
2,Number,2,1
2,Number,8,4
2,Number,9,2
2,Number,10,4
2.4587,Number,10,1
2017,Number,1,1
2017년,Number,10,1
2분,Number,1,1
2시간,Number,1,2
2시간,Number,5,2
2시간,Number,8,1
2천원,Number,2,1
3,Number,1,1
3,Number,2,1
3,Number,9,2
3,Number,10,1
300,Number,1,2
3000원,Number,1,1
30년,Number,1,1
38,Number,1,1
3시간,Number,5,1
3시간,Number,9,1
4,Number,1,2
42,Number,6,1
5,Number,1,2
5,Number,4,1
5,Number,5,3
5,Number,6,2
50분,Number,4,1
50분,Number,6,1
6,Number,7,1
7,Number,1,2
7,Number,7,3
7,Number,10,1
8,Number,1,4
8,Number,8,1
8,Number,9,1
9,Number,8,1
90,Number,10,1
90%,Number,1,1
9~10,Number,1,1
9천원,Number,2,1
:,Punctuation,1,3
:,Punctuation,3,1
:,Punctuation,6,1
:,Punctuation,8,2
:,Punctuation,10,2
;,Punctuation,1,2
;,Punctuation,8,1
;;,Punctuation,1,1
;;,Punctuation,2,1
;;,Punctuation,4,1
;;,Punctuation,6,1
;;;,Punctuation,5,1
;;;;,Punctuation,4,1
<<&,Punctuation,6,1
<<<<,Punctuation,1,1
>,Punctuation,5,1
>,Punctuation,7,1
>>,Punctuation,1,2
>>>>,Punctuation,5,1
>>>>,Punctuation,6,2
?,Punctuation,1,19
?,Punctuation,3,2
?,Punctuation,4,3
?,Punctuation,5,3
?,Punctuation,6,9
?,Punctuation,7,6
?,Punctuation,8,2
?,Punctuation,9,4
?,Punctuation,10,6
?...,Punctuation,6,1
??,Punctuation,1,3
??,Punctuation,7,2
??,Punctuation,10,3
???,Punctuation,6,1
A,Alpha,7,1
ALONE,Alpha,10,1
ARDS,Alpha,1,1
B,Alpha,1,1
B,Alpha,5,1
C,Alpha,1,1
C,Alpha,10,1
CG,Alpha,1,3
Come,Alpha,10,1
D,Alpha,1,1
D,Alpha,9,1
D,Alpha,10,1
DC,Alpha,1,11
DC,Alpha,2,4
DC,Alpha,3,3
DC,Alpha,4,2
DC,Alpha,5,8
DC,Alpha,6,3
DC,Alpha,7,3
DC,Alpha,8,4
DC,Alpha,9,3
DC,Alpha,10,22
Dc,Alpha,5,1
Dc,Alpha,8,1
Do,Alpha,10,1
It,Alpha,7,1
K,Alpha,10,1
Not,Alpha,9,1
O,Alpha,10,1
OO,Alpha,1,2
OO,Alpha,8,1
OST,Alpha,2,1
R,Alpha,3,1
Superman,Alpha,10,1
TV,Alpha,7,1
VS,Alpha,10,1
Very,Alpha,7,1
X,Alpha,1,1
X,Alpha,10,1
^^,Punctuation,9,2
^^,Punctuation,10,3
_,Punctuation,6,1
bad,Alpha,9,1
can,Alpha,10,1
cg,Alpha,1,3
cg,Alpha,6,2
cg,Alpha,7,1
cg,Alpha,8,1
dc,Alpha,1,10
dc,Alpha,4,2
dc,Alpha,5,1
dc,Alpha,6,2
dc,Alpha,7,2
dc,Alpha,8,1
dc,Alpha,10,2
disappointing,Alpha,7,1
expected,Alpha,7,1
feat,Alpha,8,1
imax,Alpha,10,1
less,Alpha,7,1
ll,Alpha,1,1
low,Alpha,1,1
lt,Alpha,6,1
mt,Alpha,5,1
save,Alpha,10,1
so,Alpha,6,2
than,Alpha,7,1
the,Alpha,10,1
tidal,Alpha,1,1
together,Alpha,10,1
v,Alpha,8,1
volume,Alpha,1,1
vs,Alpha,5,1
vs,Alpha,6,1
vs,Alpha,10,1
was,Alpha,7,1
world,Alpha,10,1
~,Punctuation,1,7
~,Punctuation,4,1
~,Punctuation,5,1
~,Punctuation,6,1
~,Punctuation,7,1
~,Punctuation,8,3
~,Punctuation,10,6
~!!,Punctuation,10,3
~^^,Punctuation,7,1
~^^,Punctuation,10,1
~~,Punctuation,6,1
~~,Punctuation,7,1
~~,Punctuation,10,5
~~^^,Punctuation,6,1
~~~,Punctuation,1,1
~~~~,Punctuation,10,1
‘,Foreign,5,1
’,Punctuation,5,1
“,Foreign,3,1
”,Foreign,3,1
♡,Foreign,10,1
♥♥♥,Foreign,10,1
ㄴ,KoreanParticle,1,1
ㄷㄷ,KoreanParticle,1,1
ㄷㄷ,KoreanParticle,4,1
ㄹㅇ,KoreanParticle,1,3
ㄹㅇ,KoreanParticle,10,3
ㅂ,KoreanParticle,7,1
ㅅ,KoreanParticle,1,1
ㅅ,KoreanParticle,7,1
ㅇ,KoreanParticle,10,1
ㅇㄷㅁ,KoreanParticle,8,1
ㅇㅇ,KoreanParticle,6,1
ㅇㅇㅇㅇ,KoreanParticle,10,1
ㅈ,KoreanParticle,1,2
ㅈ,KoreanParticle,2,1
ㅈㄹ,KoreanParticle,10,1
ㅉㅉ,KoreanParticle,5,1
ㅋ,KoreanParticle,1,2
ㅋ,KoreanParticle,7,3
ㅋ,KoreanParticle,8,2
ㅋ,KoreanParticle,9,1
ㅋ,KoreanParticle,10,3
ㅋㅋ,KoreanParticle,1,7
ㅋㅋ,KoreanParticle,4,1
ㅋㅋ,KoreanParticle,5,3
ㅋㅋ,KoreanParticle,6,1
ㅋㅋ,KoreanParticle,7,6
ㅋㅋ,KoreanParticle,8,2
ㅋㅋ,KoreanParticle,9,4
ㅋㅋ,KoreanParticle,10,5
ㅋㅋㅋ,KoreanParticle,1,9
ㅋㅋㅋ,KoreanParticle,5,1
ㅋㅋㅋ,KoreanParticle,6,1
ㅋㅋㅋ,KoreanParticle,7,1
ㅋㅋㅋ,KoreanParticle,8,1
ㅋㅋㅋ,KoreanParticle,9,1
ㅋㅋㅋ,KoreanParticle,10,6
ㅋㅋㅋㅋ,KoreanParticle,1,2
ㅋㅋㅋㅋ,KoreanParticle,5,1
ㅋㅋㅋㅋ,KoreanParticle,7,1
ㅋㅋㅋㅋ,KoreanParticle,10,4
ㅍㄹ,KoreanParticle,1,1
ㅎ,KoreanParticle,7,2
ㅎ,KoreanParticle,8,1
ㅎ,KoreanParticle,10,1
ㅎㅇ,KoreanParticle,1,1
ㅎㅎ,KoreanParticle,1,2
ㅎㅎ,KoreanParticle,5,1
ㅎㅎ,KoreanParticle,6,1
ㅎㅎ,KoreanParticle,7,1
ㅎㅎ,KoreanParticle,10,4
ㅎㅎㅎ,KoreanParticle,1,1
ㅎㅎㅎ,KoreanParticle,5,1
ㅎㅎㅎㅎ,KoreanParticle,6,1
ㅜ,KoreanParticle,5,1
ㅜ,KoreanParticle,6,1
ㅜ,KoreanParticle,9,1
ㅜㅜ,KoreanParticle,1,1
ㅜㅜ,KoreanParticle,3,1
ㅜㅜ,KoreanParticle,4,1
ㅜㅜ,KoreanParticle,6,2
ㅜㅜㅋㅋ,KoreanParticle,1,1
ㅠ,KoreanParticle,6,3
ㅠ,KoreanParticle,9,1
ㅠ,KoreanParticle,10,1
ㅠㅜ,KoreanParticle,4,1
ㅠㅜㅜ,KoreanParticle,6,1
ㅠㅠ,KoreanParticle,1,2
ㅠㅠ,KoreanParticle,4,1
ㅠㅠ,KoreanParticle,6,3
ㅠㅠ,KoreanParticle,8,1
ㅠㅠ,KoreanParticle,10,1
ㅠㅠㅠ,KoreanParticle,5,1
ㅠㅠㅠ,KoreanParticle,10,1
ㅡ,KoreanParticle,1,4
ㅡ,KoreanParticle,6,3
ㅡㅡ,KoreanParticle,1,2
ㅡㅡ,KoreanParticle,2,1
가,Josa,1,40
가,Josa,3,3
가,Josa,4,9
가,Josa,5,14
가,Josa,6,19
가,Josa,7,19
가,Josa,8,10
가,Josa,9,6
가,Josa,10,17
가,Verb,1,4
가,Verb,4,1
가,Verb,5,3
가,Verb,7,1
가,Verb,8,2
가,Verb,10,8
가까이,Noun,7,1
가깝고,Adjective,1,1
가는줄,Verb,5,1
가는줄,Verb,8,1
가는줄,Verb,10,2
가능성,Noun,1,1
가능한,Adjective,6,1
가둘,Verb,1,1
가득,Noun,9,1
가득했던,Adjective,1,1
가라,Verb,1,1
가랑이,Noun,5,1
가려고,Verb,6,1
가리기,Verb,1,1
가벼운,Adjective,6,1
가벼운,Adjective,9,1
가볍게,Adjective,6,1
가서,Verb,1,1
가서,Verb,9,1
가서,Verb,10,2
가야,Noun,4,1
가요,Noun,3,1
가인,Noun,6,1
가장,Noun,1,4
가장,Noun,5,1
가장,Noun,9,1
가장,Noun,10,2
가져놓고도,Verb,4,1
가족,Noun,1,1
가족,Noun,9,1
가지,Noun,4,1
가지,Noun,6,1
가지는,Verb,1,1
가치있는데,Verb,6,1
각,Noun,8,1
각,Noun,10,1
각각,Noun,10,2
각본,Noun,1,2
각본,Noun,5,1
각본,Noun,6,1
각자,Noun,4,1
간,Noun,5,1
간,Suffix,1,1
간,Suffix,5,1
간만,Noun,10,2
간섭,Noun,6,1
간신히,Adverb,1,1
간신히,Adverb,7,1
간신히,Adverb,8,1
간의,Noun,8,1
간지나는,Verb,7,1
갈,Verb,6,1
갈등,Noun,5,1
갈등,Noun,9,1
갈라,Noun,10,1
갈려야,Verb,1,1
갈수,Noun,7,1
갈수록,Noun,1,1
갈수록,Noun,2,1
갈수록,Noun,7,1
갈아,Adverb,1,1
감,Noun,1,1
감,Noun,5,1
감,Noun,6,3
감,Noun,8,1
감격,Noun,10,1
감도,Verb,6,1
감독,Noun,1,2
감독,Noun,5,4
감독,Noun,6,2
감독,Noun,7,1
감독,Noun,10,1
감독판,Noun,8,1
감동,Noun,6,1
감동,Noun,10,1
감안,Noun,7,1
감은,Verb,10,1
감있게,Verb,4,1
감탄,Noun,9,1
감흥,Noun,2,1
감흥,Noun,7,1
감히,Noun,7,1
갑,Noun,1,1
갑,Noun,2,1
갑,Noun,10,2
갑자기,Noun,1,2
갑자기,Noun,10,1
값,Noun,4,1
갔는데,Verb,8,1
갔다,Verb,7,1
갔다해,Verb,7,1
갔던,Verb,1,1
강력한,Adjective,4,1
강력해서,Adjective,7,1
강세,Noun,5,1
강점,Noun,8,1
강추,Noun,1,1
강추,Noun,10,1
강탈,Noun,8,1
강하고,Adjective,6,1
강하면,Adjective,5,1
강한,Adjective,10,1
강한데,Adjective,1,1
강함,Adjective,8,1
강해서,Adjective,1,1
강해지고,Adjective,7,1
같고,Adjective,1,1
같고,Adjective,8,1
같네,Adjective,1,1
같네,Adjective,8,1
같네요,Adjective,1,1
같네요,Adjective,8,1
같네요,Adjective,10,1
같다,Adjective,1,4
같다,Adjective,2,1
같다,Adjective,3,1
같다,Adjective,6,1
같다,Adjective,7,2
같다,Adjective,8,1
같다,Adjective,10,3
같더니,Adjective,2,1
같습니다,Adjective,7,1
같아,Adjective,6,1
같아서,Adjective,10,1
같아요,Adjective,10,1
같았는데,Adjective,1,1
같았습니다,Adjective,10,2
같았어요,Adjective,10,1
같았지만,Adjective,7,1
같으면,Adjective,1,1
같은,Adjective,1,4
같은,Adjective,3,3
같은,Adjective,5,1
같은,Adjective,6,1
같은,Adjective,7,2
같은,Adjective,8,1
같은,Adjective,10,1
같은데,Adjective,1,1
같은데,Adjective,5,4
같은데,Adjective,7,1
같음,Adjective,1,1
같음,Adjective,5,1
같음,Adjective,6,2
같음,Adjective,7,1
같음,Adjective,8,1
같음,Adjective,10,1
같이,Adverb,1,3
같지,Adjective,7,2
개,Noun,1,6
개,Noun,2,2
개,Noun,4,1
개,Noun,10,2
개,Suffix,1,2
개갤되,Verb,5,1
개그,Noun,1,2
개그,Noun,3,1
개그,Noun,5,1
개극혐,Noun,1,1
개노,Verb,1,1
개드립,Noun,6,1
개디,Verb,1,1
개망,Noun,1,1
개못,Verb,7,1
개발,Noun,10,1
개봉,Noun,1,1
개봉,Noun,10,2
개봉일,Noun,1,1
개연,Noun,1,4
개연,Noun,2,1
개연,Noun,3,1
개연,Noun,4,1
개연,Noun,5,2
개연,Noun,6,2
개연,Noun,7,2
개연,Noun,10,1
개운하게,Adjective,1,1
개인,Noun,1,1
개인,Noun,6,2
개인,Noun,7,2
개인,Noun,8,1
개인,Noun,10,1
개임,Noun,8,1
개입,Noun,5,1
개입,Noun,8,1
개있어여,Verb,8,1
개판,Noun,1,2
객관,Noun,9,1
갠,Noun,10,1
갤,Verb,10,1
갤가,Verb,2,1
갤가,Verb,8,2
갤가,Verb,9,1
갤가,Verb,10,1
걍,Adverb,1,4
걍,Adverb,7,1
걍,Adverb,10,1
거,Noun,1,3
거,Noun,5,1
거,Noun,6,4
거,Noun,7,2
거,Noun,8,3
거,Noun,9,1
거,Noun,10,3
거기,Noun,7,1
거르,Noun,1,2
거르는,Noun,1,1
거르자,Noun,1,1
거리,Noun,2,1
거릴거아닌,Noun,10,1
거북이,Noun,8,1
거야,Eomi,8,1
거의,Noun,1,2
거임,Noun,1,2
거참,Noun,6,1
걱정,Noun,6,1
건,Noun,1,1
건,Noun,3,1
건,Noun,6,2
건,Noun,7,1
건가,Noun,1,1
건가,Noun,6,1
건가,Noun,7,1
건물,Noun,9,1
건아,Noun,1,1
건지,Verb,1,2
건지,Verb,6,1
건지,Verb,8,1
건지,Verb,10,1
건진거라고는,Verb,6,1
걸,Noun,1,3
걸,Noun,7,2
걸,Noun,8,1
걸,Noun,9,1
걸,Noun,10,3
걸또,Noun,1,1
걸렸음,Verb,7,1
걸어가려는,Verb,6,1
걸어가며,Verb,1,1
걸어간,Verb,6,1
걸었으면,Verb,5,1
걸음,Noun,6,2
겁,Noun,1,1
겁나,Verb,1,1
겁나,Verb,2,1
것,Noun,1,10
것,Noun,3,1
것,Noun,5,5
것,Noun,6,3
것,Noun,7,3
것,Noun,8,3
것,Noun,9,1
것,Noun,10,6
게,Josa,1,8
게,Josa,2,1
게,Josa,4,1
게,Josa,5,2
게,Josa,6,4
게,Josa,7,3
게,Josa,8,2
게,Josa,9,3
게,Josa,10,2
게,Noun,1,4
게,Noun,5,1
게다가,Noun,1,1
게다가,Noun,4,1
게다가,Noun,10,1
게또,Noun,1,1
게릴라,Noun,6,1
게임,Noun,1,2
게임,Noun,6,2
게임,Noun,7,1
겔가돗,Noun,4,1
겠네,Verb,10,1
겨남,Noun,1,1
겨냥,Noun,1,1
겨드랑이,Noun,10,1
겨우,Noun,6,1
격감,Noun,2,1
격차,Noun,1,1
결국,Adverb,1,3
결국,Adverb,3,2
결국,Adverb,5,2
결국,Adverb,6,1
결국,Adverb,8,1
결론,Noun,8,1
결말,Noun,1,2
결말,Noun,4,1
결말,Noun,6,1
결정,Noun,1,1
결정,Noun,7,1
결투,Noun,5,1
겹침,Noun,5,1
경쟁,Noun,1,1
경쟁,Noun,8,1
경주,Noun,8,1
계,Noun,8,1
계속,Noun,1,1
계시냐,Adjective,1,1
계획,Noun,5,1
고,Josa,1,6
고,Josa,2,2
고,Josa,4,1
고,Josa,5,2
고,Josa,6,3
고,Josa,7,3
고,Josa,8,2
고,Josa,10,6
고,Modifier,1,3
고,Modifier,4,1
