형태소,품사,분류,카운트
,Foreign,10,1
!,Punctuation,7,1
!,Punctuation,8,2
!,Punctuation,9,5
!,Punctuation,10,40
!!,Punctuation,9,1
!!,Punctuation,10,23
!!!,Punctuation,8,1
!!!,Punctuation,10,15
!!!!,Punctuation,10,8
!!!),Punctuation,7,1
!?,Punctuation,9,2
"""",Punctuation,6,2
"""",Punctuation,9,8
"""",Punctuation,10,31
"""...",Punctuation,10,1
',Punctuation,4,4
',Punctuation,6,3
',Punctuation,8,2
',Punctuation,9,2
',Punctuation,10,23
(,Punctuation,7,1
(,Punctuation,10,5
(=^,Punctuation,10,1
(?),Punctuation,10,1
),Punctuation,10,5
)),Punctuation,10,1
+,Punctuation,10,2
+...,Punctuation,10,1
",",Punctuation,1,1
",",Punctuation,6,1
",",Punctuation,7,1
",",Punctuation,8,13
",",Punctuation,9,13
",",Punctuation,10,94
",,",Punctuation,10,2
",,,",Punctuation,4,1
",,,",Punctuation,10,1
",.",Punctuation,10,1
-,Punctuation,8,1
-,Punctuation,9,2
-,Punctuation,10,20
->,Punctuation,10,1
.,Punctuation,1,20
.,Punctuation,4,2
.,Punctuation,5,1
.,Punctuation,6,1
.,Punctuation,7,7
.,Punctuation,8,45
.,Punctuation,9,51
.,Punctuation,10,396
".,",Punctuation,10,1
..,Punctuation,1,1
..,Punctuation,5,1
..,Punctuation,8,15
..,Punctuation,9,14
..,Punctuation,10,209
..!!!,Punctuation,10,1
"..""",Punctuation,6,1
"..""",Punctuation,10,1
...,Punctuation,1,1
...,Punctuation,4,1
...,Punctuation,6,1
...,Punctuation,7,3
...,Punctuation,8,20
...,Punctuation,9,13
...,Punctuation,10,277
"...""",Punctuation,10,1
...',Punctuation,10,1
....,Punctuation,2,1
....,Punctuation,6,1
....,Punctuation,8,2
....,Punctuation,9,2
....,Punctuation,10,63
....’,Punctuation,10,1
...?,Punctuation,10,3
..;,Punctuation,1,1
..?,Punctuation,1,1
..?,Punctuation,10,2
/,Punctuation,10,1
0.1,Number,10,1
0.5,Number,9,1
00시,Number,10,1
1,Number,1,4
1,Number,8,1
1,Number,9,6
1,Number,10,28
1/3,Number,10,1
10,Number,1,1
10,Number,9,2
10,Number,10,22
100,Number,10,5
100만,Number,10,1
10800원,Number,10,1
10년,Number,9,1
10년,Number,10,10
120,Number,10,1
12시,Number,10,5
14000602분,Number,10,1
1400만,Number,9,1
149분,Number,7,1
149분,Number,8,1
149분,Number,10,3
14만,Number,10,1
"150,400.000",Number,10,1
1500,Number,10,1
1524841831679,Number,10,1
1525177644057,Number,10,1
1532969027978,Number,10,1
1532969096825,Number,10,1
15년,Number,10,1
15초,Number,10,1
16:40분,Number,10,1
18,Number,10,2
180,Number,8,1
193,Number,10,1
1987,Number,10,1
1:1,Number,10,1
1~6,Number,10,1
1년,Number,10,6
1등,Number,10,2
1시간,Number,10,3
1일,Number,9,1
1초,Number,10,1
2,Number,1,1
2,Number,8,1
2,Number,9,4
2,Number,10,30
20,Number,10,3
2002년,Number,9,1
2018,Number,10,1
2019년,Number,8,1
2019년,Number,10,8
20년,Number,10,1
20분,Number,10,3
21,Number,9,1
22402557222364046827,Number,10,1
224041785925083868614,Number,10,1
22404990133418210412,Number,10,1
22407445451793898027,Number,10,1
22일,Number,10,1
23,Number,10,1
2시,Number,10,1
2시간,Number,8,1
2시간,Number,9,1
2시간,Number,10,11
2천만,Number,10,1
3,Number,1,1
3,Number,10,21
30분,Number,9,1
30분,Number,10,11
31일,Number,10,6
3년,Number,10,2
3시간,Number,8,1
3시간,Number,9,1
3시간,Number,10,4
4,Number,1,1
4,Number,8,3
4,Number,9,4
4,Number,10,56
4시간,Number,10,1
5,Number,8,1
5,Number,10,3
5분,Number,10,5
5시간,Number,10,3
5월,Number,10,1
5천원,Number,10,2
6,Number,9,1
6,Number,10,2
605,Number,10,1
734,Number,10,1
7월,Number,10,1
8,Number,8,1
8.5,Number,8,1
8.95,Number,10,1
8시,Number,10,3
9,Number,10,1
9.3,Number,10,1
9.4,Number,10,1
900,Number,10,1
9000,Number,10,1
9시,Number,10,3
9월,Number,10,1
:,Punctuation,7,1
:,Punctuation,8,4
:,Punctuation,9,1
:,Punctuation,10,13
;,Punctuation,6,1
;,Punctuation,9,3
;,Punctuation,10,4
;.,Punctuation,10,1
;;,Punctuation,10,9
;;;;,Punctuation,1,1
;;;;,Punctuation,10,2
=,Punctuation,10,1
?,Punctuation,1,5
?,Punctuation,2,1
?,Punctuation,6,1
?,Punctuation,8,5
?,Punctuation,9,11
?,Punctuation,10,75
?!,Punctuation,10,1
?',Punctuation,10,1
?..,Punctuation,10,1
?...,Punctuation,10,2
??,Punctuation,10,6
???,Punctuation,10,1
A,Alpha,10,1
Avengers,Alpha,10,1
Bring,Alpha,10,1
CG,Alpha,10,2
CGV,Alpha,10,1
D,Alpha,10,5
DC,Alpha,9,1
DC,Alpha,10,3
Dr,Alpha,10,1
Ehdd,Alpha,10,1
Everything,Alpha,10,1
IMAX,Alpha,10,4
Infinity,Alpha,10,1
It,Alpha,6,1
It,Alpha,8,1
It,Alpha,10,3
LG,Alpha,10,1
MARVELOUS,Alpha,10,1
MCU,Alpha,8,1
MCU,Alpha,9,2
MCU,Alpha,10,2
Mother,Alpha,10,2
OO,Alpha,8,3
OO,Alpha,10,4
OOO,Alpha,2,1
OOO,Alpha,10,3
Part,Alpha,9,1
Thanos,Alpha,10,1
This,Alpha,9,1
War,Alpha,10,1
We,Alpha,8,1
X,Alpha,10,1
^=),Punctuation,10,1
^^,Punctuation,9,1
^^,Punctuation,10,1
_,Punctuation,10,5
are,Alpha,8,1
bbb,Alpha,10,1
cg,Alpha,10,1
d,Alpha,9,1
d,Alpha,10,1
dc,Alpha,10,1
dx,Alpha,9,1
end,Alpha,6,1
end,Alpha,8,2
end,Alpha,9,1
end,Alpha,10,4
endgame,Alpha,10,2
f,Alpha,8,1
fu,Alpha,10,1
fucker,Alpha,10,1
fxxk,Alpha,10,1
fxxx,Alpha,9,1
game,Alpha,6,1
game,Alpha,8,2
game,Alpha,9,1
game,Alpha,10,4
h,Alpha,10,1
have,Alpha,10,1
https://blog.naver.com/elik1119/220766349573,URL,10,1
hulk,Alpha,10,1
in,Alpha,8,1
is,Alpha,8,1
is,Alpha,9,1
jQuery,Alpha,10,4
mcu,Alpha,10,1
me,Alpha,10,1
mother,Alpha,9,1
mother,Alpha,10,1
motherfu,Alpha,6,1
motherfucxxx,Alpha,1,1
motherfuxxxx,Alpha,10,1
now,Alpha,8,1
r,Alpha,10,3
s,Alpha,6,1
s,Alpha,10,3
the,Alpha,10,2
vs,Alpha,10,1
we,Alpha,10,1
~,Punctuation,9,1
~,Punctuation,10,25
~!,Punctuation,10,2
~!!,Punctuation,10,1
~^^!!,Punctuation,10,1
~~,Punctuation,10,11
~~^^,Punctuation,10,1
~~~,Punctuation,9,2
~~~,Punctuation,10,5
~~~~,Punctuation,10,3
‘,Foreign,9,1
‘,Foreign,10,2
’,Punctuation,9,1
’,Punctuation,10,1
“,Foreign,10,3
”,Foreign,10,3
♡,Foreign,10,3
♡♡,Foreign,10,1
♡♡♡,Foreign,10,1
♡♡♡♡,Foreign,10,1
ェ,Foreign,10,1
ㄱ,KoreanParticle,10,2
ㄱㄴ,KoreanParticle,10,1
ㄱㅊ,KoreanParticle,9,1
ㄴ,KoreanParticle,10,1
ㄷ,KoreanParticle,10,5
ㄷㄷ,KoreanParticle,8,1
ㄷㄷ,KoreanParticle,10,12
ㄷㄷㄷ,KoreanParticle,10,6
ㄹ,KoreanParticle,10,1
ㄹㅇ,KoreanParticle,10,5
ㄹㅇㄹ,KoreanParticle,9,2
ㅁ,KoreanParticle,10,2
ㅂㅈㅎ,KoreanParticle,10,3
ㅅ,KoreanParticle,10,2
ㅅㄲ,KoreanParticle,10,1
ㅅㅂ,KoreanParticle,1,1
ㅅㅂ,KoreanParticle,10,7
ㅆㅅㅌㅊ,KoreanParticle,10,1
ㅇ,KoreanParticle,10,1
ㅇㅇ,KoreanParticle,10,1
ㅇㅈㄹ,KoreanParticle,10,1
ㅈ,KoreanParticle,1,1
ㅈ,KoreanParticle,8,1
ㅈ,KoreanParticle,9,1
ㅈ,KoreanParticle,10,3
ㅈㄴ,KoreanParticle,10,2
ㅈㅇㅈㅂ,KoreanParticle,10,1
ㅈㅍ,KoreanParticle,10,1
ㅋ,KoreanParticle,8,3
ㅋ,KoreanParticle,10,8
ㅋㄱㅋ,KoreanParticle,10,1
ㅋㅋ,KoreanParticle,8,3
ㅋㅋ,KoreanParticle,9,4
ㅋㅋ,KoreanParticle,10,21
ㅋㅋㅋ,KoreanParticle,6,1
ㅋㅋㅋ,KoreanParticle,9,7
ㅋㅋㅋ,KoreanParticle,10,15
ㅋㅋㅋㅋ,KoreanParticle,8,1
ㅋㅋㅋㅋ,KoreanParticle,9,1
ㅋㅋㅋㅋ,KoreanParticle,10,16
ㅌ,KoreanParticle,10,1
ㅎ,KoreanParticle,8,1
ㅎ,KoreanParticle,10,1
ㅎㅎ,KoreanParticle,9,1
ㅎㅎ,KoreanParticle,10,8
ㅎㅎㅎ,KoreanParticle,10,2
ㅎㅎㅎㅎ,KoreanParticle,10,1
ㅓ,KoreanParticle,10,2
ㅗㅗ,KoreanParticle,1,1
ㅛ,KoreanParticle,10,1
ㅜ,KoreanParticle,9,2
ㅜ,KoreanParticle,10,5
ㅜㅜ,KoreanParticle,8,1
ㅜㅜ,KoreanParticle,9,1
ㅜㅜ,KoreanParticle,10,16
ㅜㅜㅜ,KoreanParticle,10,3
ㅜㅜㅜㅜ,KoreanParticle,10,1
ㅜㅠ,KoreanParticle,10,3
ㅜㅠㅜ,KoreanParticle,10,1
ㅜㅠㅠ,KoreanParticle,10,1
ㅠ,KoreanParticle,8,1
ㅠ,KoreanParticle,9,1
ㅠ,KoreanParticle,10,14
ㅠㅜ,KoreanParticle,10,4
ㅠㅠ,KoreanParticle,8,1
ㅠㅠ,KoreanParticle,9,1
ㅠㅠ,KoreanParticle,10,31
ㅠㅠㅜ,KoreanParticle,10,1
ㅠㅠㅜㅠ,KoreanParticle,10,1
ㅠㅠㅠ,KoreanParticle,10,6
ㅠㅠㅠㅠ,KoreanParticle,10,2
ㅡ,KoreanParticle,8,1
ㅡ,KoreanParticle,10,2
ㅡㅡ,KoreanParticle,2,3
ㅡㅡ,KoreanParticle,8,1
ㅡㅡ,KoreanParticle,10,5
ㅣ,KoreanParticle,10,1
가,Josa,1,5
가,Josa,3,1
가,Josa,4,1
가,Josa,6,2
가,Josa,7,1
가,Josa,8,33
가,Josa,9,29
가,Josa,10,237
가,Verb,6,1
가,Verb,8,2
가,Verb,9,2
가,Verb,10,14
가겠다,Verb,10,1
가고,Verb,10,2
가고싶다,Verb,10,1
가기,Noun,10,2
가길,Verb,9,1
가는,Verb,10,4
가는게,Verb,8,1
가는데,Verb,10,1
가는줄,Verb,9,2
가는줄,Verb,10,4
가능,Noun,10,4
가능성,Noun,10,2
가능하다고,Adjective,10,1
가능한,Adjective,10,1
가더,Verb,10,1
가도,Noun,10,2
가두려워,Verb,10,1
가득,Noun,8,1
가디언즈,Noun,10,1
가라,Noun,10,1
가려,Verb,10,1
가루,Noun,10,2
가르며,Verb,10,1
가릴,Verb,10,1
가만,Adverb,10,1
가만히,Adverb,10,2
가망,Noun,8,2
가망,Noun,9,1
가망,Noun,10,11
가모라,Noun,8,3
가모라,Noun,10,5
가벼운,Adjective,10,1
가본,Verb,10,1
가서,Verb,10,6
가세,Noun,10,2
가슴,Noun,10,6
가시,Noun,10,1
가신다,Verb,10,1
가안,Noun,8,1
가야,Noun,10,1
가오,Noun,10,2
가요,Noun,10,2
가자,Verb,10,1
가장,Noun,9,3
가장,Noun,10,17
가져다주세요,Verb,10,1
가족,Noun,10,1
가즈,Noun,10,2
가지,Noun,6,1
가지,Noun,10,10
가지러,Verb,10,1
가진,Verb,10,3
가차,Noun,8,1
가치,Noun,10,3
가히,Adverb,8,1
가히,Adverb,10,1
각,Noun,9,1
각,Noun,10,2
각각,Noun,10,1
각본,Noun,10,1
각본가,Noun,10,1
각성,Noun,10,2
간,Foreign,10,1
간,Noun,10,2
간,Suffix,8,1
간,Suffix,9,1
간,Suffix,10,3
간격,Noun,10,1
간다,Noun,9,1
간다,Noun,10,2
간달프,Noun,10,1
간만,Noun,8,1
간만,Noun,10,1
간의,Noun,10,1
간지,Noun,10,11
간지나지,Verb,10,1
간지난다,Verb,10,1
간지날,Verb,10,1
간지였다,Verb,9,1
갈,Verb,10,3
갈기,Noun,10,1
갈길,Verb,10,1
갈까,Verb,10,1
갈릴,Noun,8,1
갈사,Noun,9,1
갈수록,Noun,8,1
갈수록,Noun,10,1
갈아,Adverb,10,1
갈아탈까,Verb,10,1
감,Noun,9,1
감,Noun,10,10
감기,Noun,10,1
감당,Noun,10,1
감독,Noun,9,1
감독,Noun,10,7
감동,Noun,10,5
감사하는,Verb,10,1
감사하다,Verb,10,2
감사한다,Verb,10,1
감사할,Verb,10,2
감사합니다,Verb,10,1
감사했습니다,Verb,10,1
감상,Noun,8,2
감상,Noun,10,4
감성,Noun,7,1
감성,Noun,10,1
감성쩌,Noun,10,1
감수성,Noun,10,1
감은,Verb,10,1
감정,Noun,8,1
감정,Noun,10,4
감정이입,Noun,10,1
감탄,Noun,8,1
감탄,Noun,10,4
감평,Noun,9,1
감히,Noun,10,3
갑,Noun,10,4
갑니다,Verb,10,2
갑자기,Noun,8,1
갑자기,Noun,10,2
값,Noun,9,1
값,Noun,10,2
갓,Modifier,8,1
갓,Modifier,10,58
갓,Noun,10,22
갓집,Noun,10,1
갔는데,Verb,10,1
갔는데도,Verb,10,1
갔다,Verb,9,1
갔다,Verb,10,1
갔다가,Verb,10,2
갔더라,Verb,10,1
강력한,Adjective,9,1
강력한,Adjective,10,1
강력했는데,Adjective,7,1
강림,Noun,10,1
강전,Noun,9,1
강제,Noun,1,1
강추,Noun,10,1
강탈,Noun,9,1
강하고,Adjective,10,2
강하긴하네,Adjective,10,1
강할,Adjective,10,1
강화인,Noun,8,1
갖고있었던,Verb,8,1
같,Adjective,10,2
같네요,Adjective,10,3
같다,Adjective,8,1
같다,Adjective,10,11
같습니다,Adjective,9,1
같습니다,Adjective,10,1
같아서,Adjective,10,1
같아요,Adjective,10,6
같았다,Adjective,10,2
같았어,Adjective,10,1
같았음,Adjective,10,2
같으면,Adjective,10,1
같은,Adjective,1,2
같은,Adjective,7,1
같은,Adjective,9,1
같은,Adjective,10,12
같은거,Adjective,10,1
같은데,Adjective,9,1
같은데,Adjective,10,3
같음,Adjective,10,7
같이,Adverb,1,1
같이,Adverb,10,5
같이,Josa,10,1
같지만,Adjective,10,2
개,Noun,1,2
개,Noun,8,3
개,Noun,9,1
개,Noun,10,30
개,Suffix,8,1
개,Suffix,9,1
개,Suffix,10,4
개간,Noun,10,3
개과천선,Noun,10,1
개그,Noun,10,1
개극혐,Noun,9,1
개꿀,Noun,10,1
개꿀잼,Noun,9,1
개꿀잼,Noun,10,3
개념,Noun,10,2
개떡같,Adjective,10,1
개떡같이,Adjective,10,1
개런티,Noun,10,1
개머싯다,Noun,10,1
개멋,Noun,7,1
개멋,Noun,8,1
개멋,Noun,10,4
개미,Noun,10,1
개별,Noun,10,1
개봉,Foreign,10,1
개봉,Noun,9,3
개봉,Noun,10,13
개봉일,Noun,10,1
개뿔,Noun,10,1
개연,Noun,10,1
개오지,Noun,10,1
개욱김,Noun,10,1
개인,Noun,9,2
개인,Noun,10,3
개쩜,Noun,10,1
개판,Noun,9,2
개판,Noun,10,1
개패,Noun,10,1
개핵잼,Noun,10,1
갠,Noun,10,1
갤,Verb,10,2
갤럭시,Noun,9,1
갱신,Noun,1,1
갸우뚱,Adverb,1,1
갸우뚱,Adverb,8,1
걍,Adverb,10,4
걔,Noun,10,1
거,Noun,1,1
거,Noun,9,3
거,Noun,10,26
거기,Noun,8,1
거기,Noun,10,1
거나,Noun,10,1
거대한,Adjective,8,2
거대한,Adjective,10,1
거두,Noun,10,1
거듭,Noun,7,1
거듭,Noun,10,1
거래,Noun,9,1
거래,Noun,10,1
거론,Noun,10,1
거리,Noun,10,2
거미,Noun,10,1
거실,Noun,10,1
거의,Noun,9,1
거의,Noun,10,1
거지,Noun,10,1
거진,Adverb,10,1
거품,Noun,1,1
걱정,Noun,9,1
걱정,Noun,10,4
건,Noun,8,2
건,Noun,9,1
건,Noun,10,9
건가,Noun,9,1
건가,Noun,10,5
건들,Adverb,10,1
건만,Noun,10,1
건지,Verb,10,9
건틀렛,Noun,8,1
건틀렛,Noun,10,4
건틀릿,Noun,10,3
걸,Noun,1,1
걸,Noun,8,1
걸,Noun,9,1
걸,Noun,10,17
걸까,Verb,10,1
걸렸다,Verb,10,1
걸림,Foreign,10,1
걸어놨지,Verb,10,1
걸었을,Verb,10,1
걸자면,Verb,10,1
걸작,Noun,10,3
걸친,Verb,10,1
검색,Noun,9,1
겁,Noun,10,2
겁나,Verb,10,6
겁나게,Verb,10,1
겁니다,Verb,10,3
것,Noun,1,1
것,Noun,8,3
것,Noun,9,2
것,Noun,10,33
겅,Noun,10,1
게,Josa,7,1
게,Josa,8,2
게,Josa,9,3
게,Josa,10,26
게,Noun,9,4
게,Noun,10,9
게임,Noun,10,10
