형태소,품사,분류,카운트
!,Punctuation,3,1
!,Punctuation,6,1
!,Punctuation,7,2
!,Punctuation,8,16
!,Punctuation,9,28
!,Punctuation,10,124
!!,Punctuation,6,1
!!,Punctuation,7,2
!!,Punctuation,8,8
!!,Punctuation,9,13
!!,Punctuation,10,58
!!!,Punctuation,2,1
!!!,Punctuation,7,4
!!!,Punctuation,8,2
!!!,Punctuation,9,6
!!!,Punctuation,10,21
!!!!,Punctuation,9,3
!!!!,Punctuation,10,11
!!!!!,Punctuation,9,1
!!!!!,Punctuation,10,4
!!!!!!,Punctuation,9,1
!!!!!!,Punctuation,10,3
!!!!!!!,Punctuation,10,1
!!!!!!!!,Punctuation,10,1
!!!!!!!!!,Punctuation,10,2
!!!!!!!!!!!,Punctuation,9,1
!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!!!!!!!!!,Punctuation,10,1
!!!!!!!!!!!!^^,Punctuation,10,1
!!~!@,Punctuation,10,1
"!""",Punctuation,9,1
"!""",Punctuation,10,1
!?!!,Punctuation,10,1
!`,Punctuation,10,1
!~,Punctuation,10,1
"""",Punctuation,9,1
"""",Punctuation,10,3
',Punctuation,2,2
',Punctuation,7,3
',Punctuation,9,8
',Punctuation,10,6
'',Punctuation,2,1
'',Punctuation,10,2
'.,Punctuation,7,1
(,Punctuation,3,2
(,Punctuation,7,1
(,Punctuation,8,3
(,Punctuation,9,3
(,Punctuation,10,9
),Punctuation,7,1
),Punctuation,8,2
),Punctuation,9,2
),Punctuation,10,7
)(*&*&^%%$$^&**()_),Punctuation,10,1
"),",Punctuation,10,3
****,Punctuation,10,1
+,Punctuation,3,1
+,Punctuation,5,1
+,Punctuation,6,1
+,Punctuation,10,4
",",Punctuation,3,3
",",Punctuation,4,5
",",Punctuation,5,7
",",Punctuation,6,10
",",Punctuation,7,15
",",Punctuation,8,33
",",Punctuation,9,45
",",Punctuation,10,124
",,",Punctuation,5,2
",,",Punctuation,10,3
",,,",Punctuation,5,1
",,,",Punctuation,6,1
",,,,",Punctuation,9,1
",,,,",Punctuation,10,1
-,Punctuation,8,1
-,Punctuation,9,1
-,Punctuation,10,4
-!,Punctuation,8,1
--,Punctuation,10,1
.,Punctuation,2,2
.,Punctuation,3,15
.,Punctuation,4,12
.,Punctuation,5,38
.,Punctuation,6,27
.,Punctuation,7,73
.,Punctuation,8,138
.,Punctuation,9,160
.,Punctuation,10,369
.!,Punctuation,10,1
.!!,Punctuation,10,2
.),Punctuation,3,1
.),Punctuation,9,1
".),",Punctuation,3,1
..,Punctuation,2,2
..,Punctuation,3,9
..,Punctuation,4,7
..,Punctuation,5,19
..,Punctuation,6,23
..,Punctuation,7,22
..,Punctuation,8,30
..,Punctuation,9,34
..,Punctuation,10,118
..!,Punctuation,10,1
"..,",Punctuation,5,1
...,Punctuation,2,4
...,Punctuation,3,6
...,Punctuation,4,8
...,Punctuation,5,8
...,Punctuation,6,21
...,Punctuation,7,23
...,Punctuation,8,42
...,Punctuation,9,40
...,Punctuation,10,110
...!,Punctuation,8,1
...!,Punctuation,10,1
...!!,Punctuation,10,1
...!!!,Punctuation,10,1
...!!!!!!!!!!!!!!,Punctuation,10,1
....,Punctuation,5,2
....,Punctuation,6,3
....,Punctuation,7,4
....,Punctuation,8,4
....,Punctuation,9,8
....,Punctuation,10,22
.....,Punctuation,3,1
.....,Punctuation,4,1
.....,Punctuation,5,1
.....,Punctuation,6,1
.....,Punctuation,7,2
.....,Punctuation,9,1
......,Punctuation,7,2
......,Punctuation,8,2
......,Punctuation,10,1
.......,Punctuation,9,1
........,Punctuation,8,1
........,Punctuation,10,1
........!!!!!!!,Punctuation,10,1
..............,Punctuation,5,1
....^^,Punctuation,10,1
...;,Punctuation,10,1
...?,Punctuation,8,1
...?,Punctuation,9,1
...????,Punctuation,10,1
..;,Punctuation,10,1
..?,Punctuation,10,2
..??,Punctuation,4,1
..^&^,Punctuation,8,1
.^^,Punctuation,10,1
.~,Punctuation,8,1
.~,Punctuation,10,1
/,Punctuation,8,1
/,Punctuation,10,6
0,Number,10,1
0.5,Number,8,1
01,Number,9,1
04,Number,7,1
05,Number,7,1
1,Number,3,2
1,Number,5,3
1,Number,6,1
1,Number,8,7
1,Number,9,9
1,Number,10,58
1/4,Number,9,1
10,Number,8,1
10,Number,9,5
10,Number,10,56
100,Number,10,2
100%,Number,9,1
10000000000,Number,10,1
1000원,Number,10,1
100년,Number,10,1
100만,Number,10,1
100일,Number,10,1
10년,Number,10,2
10분,Number,9,1
11,Number,10,1
12,Number,9,1
12.05,Number,7,1
142분,Number,10,1
15분,Number,7,1
1:1,Number,9,1
1~3,Number,10,1
1년,Number,10,3
1등,Number,9,1
1만,Number,10,1
1분,Number,10,1
1시간,Number,5,1
1시간,Number,7,2
1시간,Number,8,3
1시간,Number,9,3
1시간,Number,10,1
1일,Number,10,1
1초,Number,10,1
2,Number,3,1
2,Number,4,1
2,Number,5,3
2,Number,6,2
2,Number,7,1
2,Number,8,14
2,Number,9,19
2,Number,10,92
2%,Number,10,1
2.5,Number,10,2
2010년,Number,10,1
2012,Number,9,1
2012.05,Number,9,1
2012년,Number,10,5
2014.05,Number,9,1
2015.01,Number,7,1
2015년,Number,10,1
2019,Number,10,1
2019년,Number,10,2
20년,Number,10,1
20분,Number,5,1
20분,Number,7,1
20분,Number,10,1
21,Number,7,1
21,Number,10,1
24시,Number,10,1
27,Number,10,1
2년,Number,9,1
2년,Number,10,4
2만,Number,10,1
2시간,Number,7,3
2시간,Number,8,1
2시간,Number,9,1
2시간,Number,10,3
3,Number,2,1
3,Number,3,1
3,Number,5,3
3,Number,6,5
3,Number,7,6
3,Number,8,6
3,Number,9,9
3,Number,10,32
3.5,Number,7,1
30,Number,10,1
3000,Number,10,1
3000만,Number,10,2
30년,Number,10,1
30분,Number,9,1
30분,Number,10,5
32012/4,Number,9,1
37,Number,10,1
3년,Number,8,3
3년,Number,10,2
3만,Number,8,1
3분,Number,3,1
3월,Number,10,1
4,Number,3,2
4,Number,4,1
4,Number,8,6
4,Number,9,3
4,Number,10,6
40분,Number,5,2
40분,Number,7,2
40분,Number,8,2
40분,Number,10,1
41,Number,10,1
45,Number,10,1
4~5,Number,10,1
4일,Number,6,1
4회,Number,3,1
5,Number,5,2
5,Number,8,1
5,Number,9,1
5,Number,10,8
5월,Number,10,1
6,Number,6,2
6,Number,8,2
6,Number,10,7
600만,Number,8,1
6500원,Number,10,1
6년,Number,10,1
6월,Number,6,1
7,Number,7,4
7,Number,10,2
7~8,Number,10,1
7년,Number,10,1
8,Number,7,1
8,Number,8,5
8,Number,9,3
8,Number,10,7
8-9,Number,10,1
8.5,Number,8,2
8.8,Number,5,1
8.82,Number,6,1
8년,Number,10,1
9,Number,8,1
9,Number,9,5
9,Number,10,7
9.5,Number,10,1
99,Number,8,4
:,Punctuation,9,1
